window,L_plus,L_minus,rel_gap
0,2.15131891e-04,7.69625709e-04,2.577460
1,4.67046630e-04,1.92598719e-03,3.123758
2,9.34279582e-04,1.18907145e-03,0.272715
3,2.32354127e-04,2.69760401e-03,10.609882
4,2.26400676e-04,3.13741621e-03,12.857804
5,4.16367606e-04,3.92758404e-04,0.060111
6,1.96330497e-04,2.83469126e-04,0.443836
7,2.91733042e-04,4.96442197e-03,16.017003
8,4.78274142e-03,5.86040085e-03,0.225323
9,3.43472348e-03,3.35526327e-03,0.023682
10,5.03955584e-04,1.23821953e-02,23.570013
11,1.30636222e-03,1.60031056e-03,0.225013
