seed,member_sharpe,committed_sharpe,diff
42,0.016000,0.016000,0.00e+00
43,0.097200,0.097200,0.00e+00
44,0.399600,0.399600,0.00e+00
100,0.365200,0.365200,0.00e+00
101,0.414100,0.414100,0.00e+00
102,0.088800,0.088800,0.00e+00
103,0.099500,0.099500,0.00e+00
104,0.558100,0.558100,0.00e+00
105,0.714400,0.714400,0.00e+00
106,0.628700,0.628700,0.00e+00
107,0.708900,0.708900,0.00e+00
108,0.049700,0.049700,0.00e+00
109,-0.101000,-0.101000,0.00e+00
