S,sharpe_pooled,rms_alpha_pct,max_alpha_pct,ev
3,0.003408,6.062923,31.686539,0.382646
5,0.114416,6.049014,31.429467,0.383176
10,0.514087,6.027407,31.063584,0.380277
13,0.264742,6.037728,31.219660,0.362508
