window,L_plus,L_minus,rel_gap
0,2.44489929e-04,8.84028326e-04,2.615807
1,5.89768519e-04,1.93747552e-03,2.285146
2,1.13200373e-03,1.04063016e-03,0.087806
3,2.42254086e-04,2.54795444e-03,9.517694
4,2.34144769e-04,3.06049618e-03,12.070957
5,4.33907640e-04,4.65330435e-04,0.072418
6,1.99295449e-04,3.11869255e-04,0.564859
7,3.05455120e-04,5.32964943e-03,16.448224
8,4.75783180e-03,6.05785055e-03,0.273238
9,3.73615464e-03,3.35107814e-03,0.114911
10,4.94524487e-04,1.24846511e-02,24.245769
11,1.56529550e-03,1.53494952e-03,0.019770
