window,L_plus,L_minus,rel_gap
0,2.36461841e-04,8.76773323e-04,2.707885
1,5.38429304e-04,2.00881553e-03,2.730881
2,1.11571723e-03,1.08930655e-03,0.024245
3,2.41671820e-04,2.61895917e-03,9.836841
4,2.30483216e-04,3.02192895e-03,12.111276
5,4.35185415e-04,4.66272468e-04,0.071434
6,1.99661677e-04,3.09290976e-04,0.549075
7,2.99029431e-04,5.18283388e-03,16.332187
8,4.55986382e-03,6.23894623e-03,0.368231
9,3.29329050e-03,3.75249167e-03,0.139435
10,4.81658353e-04,1.24299740e-02,24.806620
11,1.55611231e-03,1.46933657e-03,0.059058
