window,L_plus,L_minus,rel_gap
0,2.43402654e-04,8.83544271e-04,2.629970
1,5.79081010e-04,1.96260191e-03,2.389166
2,1.04785210e-03,1.12438726e-03,0.073040
3,2.42714188e-04,2.56388448e-03,9.563389
4,2.36356282e-04,3.09351971e-03,12.088375
5,4.43204306e-04,4.55558096e-04,0.027874
6,1.94888111e-04,3.14057543e-04,0.611476
7,2.98415893e-04,5.26776537e-03,16.652429
8,5.82388183e-03,4.96829394e-03,0.172210
9,3.46149225e-03,3.62076284e-03,0.046012
10,4.63813281e-04,1.16665941e-02,24.153644
11,1.44400599e-03,1.66138681e-03,0.150540
