window,L_plus,L_minus,rel_gap
0,2.35489599e-04,8.74746765e-04,2.714588
1,5.54765284e-04,1.97353400e-03,2.557422
2,1.10696792e-03,1.09796494e-03,0.008200
3,2.37873581e-04,2.60692113e-03,9.959271
4,2.34364445e-04,3.03996610e-03,11.971106
5,4.60684823e-04,4.40474862e-04,0.045882
6,2.00187642e-04,3.08458373e-04,0.540846
7,3.00956221e-04,5.17888088e-03,16.208087
8,4.49962448e-03,6.31050766e-03,0.402452
9,3.41132632e-03,3.62786674e-03,0.063477
10,4.44207253e-04,1.12927835e-02,24.422330
11,1.62934291e-03,1.40111684e-03,0.162889
