ticker,first_date,last_date,n_days,n_months
DCM,"(2013, 12, 2)","(2014, 12, 3)",13,13
DCTL,"(2021, 10, 25)","(2021, 10, 29)",1,1
DEL,"(2013, 12, 2)","(2026, 8, 3)",153,153
DFML,"(2013, 12, 2)","(2026, 8, 3)",153,153
DFSM,"(2013, 12, 2)","(2026, 8, 3)",153,153
DGKC,"(2013, 12, 2)","(2026, 8, 3)",153,153
DHPL,"(2025, 2, 3)","(2026, 3, 11)",14,14
DIIL,"(2013, 12, 11)","(2026, 8, 3)",76,76
DINT,"(2013, 12, 2)","(2026, 8, 3)",129,129
DKL,"(2015, 4, 29)","(2022, 1, 11)",71,71
DKTM,"(2013, 12, 2)","(2021, 10, 29)",66,66
DLL,"(2013, 12, 2)","(2026, 8, 3)",153,153
DMC,"(2025, 6, 30)","(2026, 8, 3)",15,15
DMIL,"(2020, 3, 4)","(2021, 1, 8)",9,9
DMTM,"(2013, 12, 3)","(2025, 11, 14)",80,80
DMTX,"(2013, 12, 16)","(2025, 5, 29)",74,74
DNCC,"(2013, 12, 3)","(2026, 8, 3)",152,152
DOL,"(2013, 12, 2)","(2026, 8, 3)",153,153
DOMF,"(2021, 10, 25)","(2021, 10, 29)",1,1
DSFL,"(2013, 12, 2)","(2021, 10, 29)",52,52
DSIL,"(2013, 12, 2)","(2026, 8, 3)",153,153
DSL,"(2013, 12, 2)","(2026, 8, 3)",150,150
DSML,"(2013, 12, 4)","(2024, 12, 27)",113,113
DWAE,"(2013, 12, 2)","(2026, 8, 3)",41,41
DWSM,"(2013, 12, 2)","(2026, 8, 3)",153,153
DWTM,"(2013, 12, 12)","(2026, 8, 3)",151,151
DYNO,"(2013, 12, 2)","(2026, 8, 3)",153,153
ECOP,"(2013, 12, 2)","(2026, 8, 3)",153,153
EFERT,"(2014, 1, 17)","(2026, 8, 3)",152,152
EFGH,"(2017, 5, 29)","(2024, 11, 22)",91,91
EFOODS,"(2013, 12, 2)","(2019, 7, 10)",68,68
EFUG,"(2013, 12, 2)","(2026, 8, 3)",153,153
EFUL,"(2013, 12, 2)","(2026, 8, 3)",153,153
ELCM,"(2013, 12, 2)","(2026, 8, 3)",130,130
ELSM,"(2013, 12, 2)","(2026, 8, 3)",145,145
EMCO,"(2013, 12, 2)","(2026, 8, 3)",153,153
ENGL,"(2021, 10, 25)","(2021, 10, 29)",1,1
ENGRO,"(2013, 12, 2)","(2025, 1, 3)",134,134
ENGROH,"(2025, 1, 6)","(2026, 8, 3)",20,20
EPCL,"(2013, 12, 2)","(2026, 8, 3)",153,153
EPQL,"(2014, 10, 27)","(2026, 8, 3)",143,143
ESBL,"(2013, 12, 2)","(2026, 8, 3)",153,153
EWIC,"(2015, 6, 24)","(2026, 8, 3)",53,53
EWLA,"(2013, 12, 2)","(2018, 7, 13)",55,55
EXIDE,"(2013, 12, 2)","(2026, 8, 3)",153,153
FABL,"(2013, 12, 2)","(2026, 8, 3)",153,153
FAEL,"(2021, 10, 25)","(2021, 10, 29)",1,1
FANM,"(2013, 12, 13)","(2026, 8, 3)",148,148
FASM,"(2013, 12, 2)","(2026, 8, 3)",153,153
FATIMA,"(2013, 12, 2)","(2026, 8, 3)",153,153
FCCL,"(2013, 12, 2)","(2026, 8, 3)",153,153
FCEL,"(2016, 1, 21)","(2026, 8, 3)",52,52
FCEPL,"(2019, 7, 11)","(2026, 8, 3)",86,86
FCIBL,"(2013, 12, 4)","(2026, 8, 3)",153,153
FCL,"(2024, 6, 10)","(2026, 8, 3)",27,27
FCONM,"(2021, 10, 25)","(2021, 10, 29)",1,1
FDIBL,"(2013, 12, 2)","(2024, 3, 22)",124,124
FDPL,"(2024, 3, 25)","(2026, 8, 3)",30,30
FECM,"(2013, 12, 2)","(2026, 8, 3)",153,153
FECTC,"(2013, 12, 2)","(2026, 8, 3)",153,153
FEM,"(2013, 12, 2)","(2026, 8, 3)",153,153
FEROZ,"(2013, 12, 2)","(2026, 8, 3)",153,153
FFBL,"(2013, 12, 2)","(2024, 12, 20)",133,133
FFC,"(2013, 12, 2)","(2026, 8, 3)",153,153
FFL,"(2016, 6, 22)","(2026, 8, 3)",123,123
FFLM,"(2013, 12, 2)","(2026, 8, 3)",153,153
FFLNV,"(2016, 6, 22)","(2018, 3, 15)",22,22
FHAM,"(2013, 12, 2)","(2026, 8, 3)",153,153
FIBLM,"(2013, 12, 2)","(2026, 8, 3)",149,149
FIL,"(2013, 12, 5)","(2026, 8, 3)",38,38
FIM,"(2021, 10, 25)","(2021, 10, 29)",1,1
FIMM,"(2013, 12, 5)","(2026, 7, 31)",93,93
FLYNG,"(2013, 12, 2)","(2026, 8, 3)",153,153
FML,"(2013, 12, 5)","(2026, 8, 3)",146,146
FNBM,"(2013, 12, 2)","(2021, 10, 29)",85,85
FNEL,"(2013, 12, 2)","(2026, 8, 3)",153,153
FPJM,"(2013, 12, 2)","(2026, 8, 3)",153,153
FPRM,"(2013, 12, 5)","(2026, 8, 3)",149,149
FRCL,"(2013, 12, 2)","(2026, 8, 3)",153,153
FRSM,"(2013, 12, 3)","(2026, 8, 3)",153,153
FSWL,"(2013, 12, 4)","(2026, 8, 3)",48,48
FTHM,"(2021, 10, 25)","(2021, 10, 29)",1,1
FTMM,"(2016, 1, 11)","(2026, 8, 3)",108,108
FTSM,"(2013, 12, 4)","(2026, 8, 3)",130,130
FUDLM,"(2013, 12, 2)","(2024, 6, 7)",127,127
