ticker,first_date,last_date,n_days,n_months
PDGH,"(2021, 10, 25)","(2021, 10, 29)",1,1
PECO,"(2013, 12, 5)","(2026, 8, 3)",149,149
PGCL,"(2013, 12, 2)","(2020, 2, 6)",75,75
PGF,"(2013, 12, 2)","(2018, 5, 14)",54,54
PGLC,"(2013, 12, 2)","(2026, 8, 3)",139,139
PHDL,"(2013, 12, 5)","(2025, 1, 20)",129,129
PIAA,"(2013, 12, 2)","(2024, 5, 24)",126,126
PIAB,"(2014, 1, 15)","(2024, 5, 6)",15,15
PIAHCLA,"(2024, 5, 27)","(2026, 8, 3)",28,28
PIAHCLB,"(2024, 5, 27)","(2026, 8, 3)",28,28
PIBTL,"(2013, 12, 23)","(2026, 8, 3)",153,153
PICL,"(2021, 10, 25)","(2021, 10, 29)",1,1
PICT,"(2013, 12, 2)","(2026, 8, 3)",153,153
PIF,"(2013, 12, 2)","(2018, 5, 14)",54,54
PIL,"(2013, 12, 2)","(2026, 8, 3)",153,153
PIM,"(2016, 2, 16)","(2026, 8, 3)",119,119
PINL,"(2013, 12, 2)","(2026, 8, 3)",153,153
PIOC,"(2013, 12, 2)","(2026, 8, 3)",153,153
PKGI,"(2013, 12, 3)","(2026, 8, 3)",152,152
PKGP,"(2013, 12, 2)","(2026, 8, 3)",153,153
PKGS,"(2013, 12, 2)","(2026, 8, 3)",153,153
PMI,"(2013, 12, 2)","(2025, 7, 25)",140,140
PMPK,"(2013, 12, 2)","(2025, 10, 3)",138,138
PMRS,"(2013, 12, 2)","(2026, 8, 3)",139,139
PNGRS,"(2013, 12, 2)","(2017, 3, 3)",40,40
POL,"(2013, 12, 2)","(2026, 8, 3)",153,153
POML,"(2013, 12, 5)","(2026, 8, 3)",153,153
PPL,"(2013, 12, 2)","(2026, 8, 3)",153,153
PPP,"(2013, 12, 2)","(2026, 8, 3)",153,153
PPVC,"(2013, 12, 2)","(2026, 8, 3)",150,150
PQGTL,"(2026, 2, 10)","(2026, 8, 3)",7,7
PREMA,"(2018, 7, 30)","(2026, 8, 3)",98,98
PRET,"(2013, 12, 2)","(2026, 8, 3)",153,153
PRIB,"(2021, 10, 25)","(2021, 10, 29)",1,1
PRIC,"(2021, 10, 25)","(2021, 10, 29)",1,1
PRL,"(2013, 12, 2)","(2026, 8, 3)",153,153
PRWM,"(2013, 12, 2)","(2026, 8, 3)",150,150
PSEL,"(2013, 12, 3)","(2026, 8, 3)",120,120
PSMC,"(2013, 12, 2)","(2024, 4, 25)",125,125
PSO,"(2013, 12, 2)","(2026, 8, 3)",153,153
PSX,"(2017, 6, 29)","(2026, 8, 3)",111,111
PSYL,"(2013, 12, 2)","(2026, 8, 3)",152,152
PTC,"(2013, 12, 2)","(2026, 8, 3)",153,153
PTL,"(2021, 2, 22)","(2026, 8, 3)",67,67
PUDF,"(2021, 10, 25)","(2021, 10, 29)",1,1
QTECH,"(2025, 12, 30)","(2026, 8, 3)",9,9
QUET,"(2013, 12, 2)","(2026, 8, 3)",144,144
QUICE,"(2013, 12, 2)","(2026, 8, 3)",153,153
QUSW,"(2021, 10, 25)","(2021, 10, 29)",1,1
RAVT,"(2013, 12, 2)","(2021, 8, 3)",93,93
RCML,"(2013, 12, 2)","(2026, 4, 15)",132,132
REDCO,"(2013, 12, 2)","(2026, 8, 3)",153,153
REGAL,"(2021, 10, 25)","(2021, 10, 29)",1,1
REWM,"(2013, 12, 2)","(2026, 8, 3)",153,153
RICL,"(2013, 12, 2)","(2026, 8, 3)",153,153
RMPL,"(2013, 12, 2)","(2026, 8, 3)",153,153
RPL,"(2017, 2, 28)","(2026, 8, 3)",115,115
RUBY,"(2013, 12, 2)","(2026, 8, 3)",153,153
RUPL,"(2013, 12, 2)","(2026, 8, 3)",151,151
SAIF,"(2013, 12, 2)","(2026, 8, 3)",153,153
SALT,"(2013, 12, 3)","(2021, 6, 21)",80,80
SANE,"(2013, 12, 2)","(2024, 10, 4)",68,68
SANSM,"(2013, 12, 4)","(2026, 8, 3)",146,146
SAPL,"(2013, 12, 3)","(2023, 10, 27)",119,119
SAPT,"(2013, 12, 2)","(2026, 8, 3)",148,148
SARC,"(2013, 12, 2)","(2026, 8, 3)",151,151
SASML,"(2013, 12, 3)","(2026, 8, 3)",147,147
SAZEW,"(2013, 12, 2)","(2026, 8, 3)",153,153
SBL,"(2013, 12, 2)","(2026, 8, 3)",153,153
SCBPL,"(2013, 12, 2)","(2026, 8, 3)",153,153
SCHT,"(2021, 10, 25)","(2021, 10, 29)",1,1
SCL,"(2014, 1, 3)","(2026, 7, 24)",149,149
SDOT,"(2021, 10, 25)","(2021, 10, 29)",1,1
SEARL,"(2013, 12, 2)","(2026, 8, 3)",153,153
SEL,"(2013, 12, 3)","(2026, 8, 3)",150,150
SELECT,"(2026, 7, 13)","(2026, 8, 3)",2,2
SEPCO,"(2013, 12, 2)","(2016, 1, 11)",26,26
SEPL,"(2013, 12, 2)","(2026, 8, 3)",153,153
SERF,"(2016, 4, 14)","(2021, 11, 19)",68,68
SERT,"(2014, 9, 3)","(2026, 8, 3)",144,144
SFAT,"(2013, 12, 12)","(2021, 10, 29)",69,69
SFL,"(2013, 12, 3)","(2026, 8, 3)",151,151
SFLL,"(2013, 12, 5)","(2019, 8, 21)",43,43
SGABL,"(2021, 10, 25)","(2021, 10, 29)",1,1
SGF,"(2021, 4, 28)","(2026, 8, 3)",65,65
SGPL,"(2013, 12, 2)","(2026, 8, 3)",79,79
SHCI,"(2013, 12, 2)","(2021, 10, 29)",44,44
SHCM,"(2013, 12, 6)","(2026, 8, 3)",121,121
SHDT,"(2013, 12, 2)","(2026, 8, 3)",142,142
SHEL,"(2013, 12, 2)","(2025, 2, 28)",135,135
SHEZ,"(2013, 12, 2)","(2026, 8, 3)",152,152
SHFA,"(2013, 12, 2)","(2026, 8, 3)",153,153
SHJS,"(2013, 12, 2)","(2026, 8, 3)",149,149
SHNI,"(2013, 12, 11)","(2026, 8, 3)",153,153
SHSML,"(2013, 12, 3)","(2026, 8, 3)",153,153
SIBL,"(2013, 12, 2)","(2026, 8, 3)",151,151
SICL,"(2021, 10, 25)","(2021, 10, 29)",1,1
SIEM,"(2013, 12, 2)","(2026, 8, 3)",153,153
SILK,"(2013, 12, 2)","(2025, 3, 18)",136,136
SINDM,"(2015, 1, 23)","(2026, 8, 3)",140,140
SING,"(2013, 12, 3)","(2018, 7, 10)",56,56
SITC,"(2013, 12, 2)","(2026, 8, 3)",153,153
SJTM,"(2014, 1, 1)","(2020, 5, 15)",70,70
SKRS,"(2013, 12, 3)","(2026, 8, 3)",153,153
SLCL,"(2013, 12, 2)","(2021, 10, 29)",72,72
SLGL,"(2024, 4, 22)","(2026, 8, 3)",29,29
SLL,"(2016, 1, 18)","(2024, 10, 31)",104,104
SLM,"(2026, 6, 15)","(2026, 8, 3)",3,3
SLYT,"(2013, 12, 2)","(2026, 8, 3)",118,118
SMBL,"(2013, 12, 2)","(2023, 11, 24)",120,120
SMBLCPSB,"(2014, 7, 10)","(2017, 10, 9)",27,27
SMCPL,"(2013, 12, 2)","(2026, 8, 3)",153,153
SML,"(2016, 2, 25)","(2026, 8, 3)",127,127
SMTM,"(2013, 12, 2)","(2022, 8, 2)",105,105
SNAI,"(2013, 12, 5)","(2026, 8, 3)",153,153
SNBL,"(2013, 12, 2)","(2026, 8, 3)",153,153
SNGP,"(2013, 12, 2)","(2026, 8, 3)",153,153
SPAC1,"(2026, 5, 11)","(2026, 8, 3)",4,4
SPAC2,"(2026, 7, 13)","(2026, 8, 3)",2,2
SPEL,"(2015, 2, 10)","(2026, 8, 3)",139,139
SPL,"(2013, 12, 2)","(2026, 8, 3)",153,153
SPLC,"(2013, 12, 2)","(2022, 3, 22)",82,82
SPLCTFC3,"(2014, 2, 17)","(2014, 3, 20)",2,2
SPSL,"(2026, 5, 21)","(2026, 8, 3)",4,4
SPWL,"(2014, 12, 15)","(2026, 8, 3)",141,141
SRSM,"(2013, 12, 2)","(2019, 6, 28)",53,53
SRVI,"(2013, 12, 2)","(2026, 8, 3)",153,153
SSGC,"(2013, 12, 2)","(2026, 8, 3)",153,153
SSIC,"(2013, 12, 2)","(2021, 10, 29)",22,22
SSML,"(2013, 12, 2)","(2026, 8, 3)",153,153
SSOM,"(2014, 8, 18)","(2026, 8, 3)",145,145
STCL,"(2013, 12, 2)","(2026, 8, 3)",153,153
STJT,"(2013, 12, 2)","(2026, 8, 3)",149,149
STL,"(2025, 1, 16)","(2026, 8, 3)",20,20
STML,"(2013, 12, 2)","(2026, 8, 3)",145,145
STPL,"(2013, 12, 2)","(2026, 8, 3)",153,153
STYLERS,"(2024, 1, 22)","(2026, 8, 3)",32,32
SUHJ,"(2013, 12, 2)","(2022, 12, 12)",36,36
SURAJ,"(2021, 10, 25)","(2021, 10, 29)",1,1
SURC,"(2013, 12, 2)","(2026, 8, 3)",153,153
SUTM,"(2013, 12, 2)","(2026, 8, 3)",151,151
SWL,"(2025, 11, 11)","(2026, 7, 29)",4,4
SYM,"(2023, 9, 1)","(2026, 8, 3)",36,36
SYS,"(2015, 2, 3)","(2026, 8, 3)",139,139
SZTM,"(2013, 12, 2)","(2026, 8, 3)",99,99
TAJT,"(2021, 10, 25)","(2021, 10, 29)",1,1
TATM,"(2013, 12, 2)","(2026, 8, 3)",153,153
TBL,"(2023, 12, 15)","(2026, 8, 3)",33,33
TCLTC,"(2013, 12, 2)","(2019, 10, 16)",68,68
TCORP,"(2022, 8, 5)","(2026, 8, 3)",49,49
TDIL,"(2013, 12, 2)","(2017, 12, 29)",49,49
TELE,"(2013, 12, 2)","(2026, 8, 3)",153,153
TGL,"(2013, 12, 2)","(2026, 8, 3)",153,153
THALL,"(2013, 12, 2)","(2026, 8, 3)",153,153
THAS,"(2013, 12, 11)","(2017, 10, 4)",47,47
THCCL,"(2013, 12, 2)","(2026, 8, 3)",153,153
TICL,"(2013, 12, 3)","(2026, 8, 3)",146,146
TOMCL,"(2020, 8, 3)","(2026, 8, 3)",73,73
TOWL,"(2014, 2, 10)","(2026, 8, 3)",142,142
TPL,"(2013, 12, 2)","(2026, 8, 3)",153,153
TPLI,"(2018, 1, 4)","(2026, 8, 3)",104,104
TPLL,"(2024, 12, 30)","(2026, 8, 3)",21,21
TPLP,"(2018, 1, 11)","(2026, 8, 3)",104,104
TPLRF1,"(2024, 5, 20)","(2026, 8, 3)",28,28
TPLT,"(2020, 8, 10)","(2026, 8, 3)",73,73
TREET,"(2013, 12, 2)","(2026, 8, 3)",153,153
TREI,"(2013, 12, 2)","(2013, 12, 6)",1,1
TRG,"(2013, 12, 2)","(2026, 8, 3)",153,153
TRIBL,"(2013, 12, 2)","(2021, 10, 29)",70,70
TRIPF,"(2013, 12, 2)","(2026, 8, 3)",153,153
TRPOL,"(2013, 12, 2)","(2021, 4, 5)",89,89
TRSM,"(2013, 12, 2)","(2026, 8, 3)",147,147
TSBL,"(2013, 12, 3)","(2026, 8, 3)",148,148
TSMF,"(2013, 12, 2)","(2026, 8, 3)",152,152
TSML,"(2013, 12, 19)","(2026, 8, 3)",144,144
TSPL,"(2013, 12, 2)","(2026, 8, 3)",153,153
UBDL,"(2013, 12, 2)","(2026, 8, 3)",145,145
UBL,"(2013, 12, 2)","(2026, 8, 3)",153,153
UCAPM,"(2013, 12, 3)","(2026, 8, 3)",153,153
UDLI,"(2024, 7, 10)","(2026, 8, 3)",26,26
UDPL,"(2013, 12, 2)","(2026, 8, 3)",151,151
UNIC,"(2013, 12, 2)","(2026, 8, 3)",153,153
UNITY,"(2017, 10, 5)","(2026, 8, 3)",107,107
UPFL,"(2013, 12, 2)","(2026, 8, 3)",153,153
USMT,"(2021, 10, 25)","(2021, 10, 29)",1,1
UVIC,"(2013, 12, 2)","(2026, 8, 3)",149,149
WAFI,"(2025, 3, 3)","(2026, 8, 3)",18,18
WAHDAT,"(2026, 5, 8)","(2026, 8, 3)",4,4
WAHN,"(2013, 12, 5)","(2026, 8, 3)",153,153
WASL,"(2025, 7, 28)","(2026, 8, 3)",14,14
WAVES,"(2018, 7, 11)","(2026, 8, 3)",98,98
WAVESAPP,"(2023, 12, 28)","(2026, 8, 3)",33,33
WHALE,"(2022, 8, 3)","(2023, 12, 27)",17,17
WTL,"(2013, 12, 2)","(2026, 8, 3)",153,153
WYETH,"(2013, 12, 2)","(2022, 4, 1)",100,100
YOUW,"(2013, 12, 2)","(2026, 8, 3)",152,152
ZAHID,"(2015, 7, 14)","(2026, 8, 3)",134,134
ZAL,"(2025, 2, 28)","(2026, 8, 3)",19,19
ZELP,"(2021, 10, 25)","(2021, 10, 29)",1,1
ZHCM,"(2021, 10, 25)","(2021, 10, 29)",1,1
ZIL,"(2013, 12, 2)","(2026, 8, 3)",152,152
ZTL,"(2013, 12, 2)","(2026, 8, 3)",152,152
ZUMA,"(2025, 10, 24)","(2026, 8, 3)",11,11
