window,L_plus,L_minus,rel_gap
0,2.35649539e-04,8.81388492e-04,2.740251
1,5.53486403e-04,1.97531353e-03,2.568856
2,1.11396657e-03,1.09103031e-03,0.021023
3,2.34760329e-04,2.40189582e-03,9.231268
4,2.33105224e-04,3.02820327e-03,11.990714
5,4.79946961e-04,4.22759156e-04,0.135273
6,1.99439834e-04,3.07111564e-04,0.539871
7,2.79164960e-04,4.68718214e-03,15.790009
8,5.24435425e-03,5.48671884e-03,0.046214
9,3.50996642e-03,3.52740148e-03,0.004967
10,4.76733287e-04,1.23900166e-02,24.989409
11,1.22168381e-03,1.84668868e-03,0.511593
