window,L_plus,L_minus,rel_gap
0,2.24984411e-04,9.47961002e-04,3.213452
1,5.75964514e-04,1.91868981e-03,2.331264
2,1.09663396e-03,1.10830867e-03,0.010646
3,7.59558112e-04,7.46115053e-04,0.018017
4,7.88380275e-04,9.05859401e-04,0.149013
5,4.42343618e-04,4.58736788e-04,0.037060
6,2.00133378e-04,3.13813362e-04,0.568021
7,3.06465838e-04,5.28282858e-03,16.237904
8,4.82509378e-03,5.93482051e-03,0.229991
9,3.08330869e-03,3.98701103e-03,0.293095
10,5.79010870e-04,8.53748526e-03,13.744948
11,1.73679064e-03,1.30835082e-03,0.327466
