window,L_plus,L_minus,rel_gap
0,3.66791472e-04,3.98254517e-04,0.085779
1,5.36545936e-04,2.01489893e-03,2.755315
2,1.06633862e-03,1.13938528e-03,0.068502
3,7.03530503e-04,8.04566778e-04,0.143613
4,7.79862225e-04,9.15266108e-04,0.173625
5,4.46461025e-04,4.54507361e-04,0.018022
6,2.00061942e-04,3.11434967e-04,0.556693
7,3.02626024e-04,5.23145590e-03,16.286867
8,5.23331389e-03,5.49802650e-03,0.050582
9,3.21531808e-03,3.83762224e-03,0.193544
10,4.86407429e-04,9.47411917e-03,18.477744
11,1.45543891e-03,1.57067820e-03,0.079178
