window,L_plus,L_minus,rel_gap
0,2.43198694e-04,8.93308199e-04,2.673162
1,5.22681978e-04,2.09797127e-03,3.013858
2,1.11503352e-03,1.05683925e-03,0.055064
3,2.43027549e-04,2.55361968e-03,9.507532
4,2.40096735e-04,3.09048221e-03,11.871821
5,4.40980773e-04,4.57857008e-04,0.038270
6,1.98506663e-04,3.05559981e-04,0.539293
7,3.10096453e-04,5.40362112e-03,16.425614
8,5.23971021e-03,5.53674158e-03,0.056689
9,3.71408463e-03,3.37182893e-03,0.101504
10,4.84799442e-04,1.24509512e-02,24.682685
11,1.42349035e-03,1.68397580e-03,0.182991
