window,L_plus,L_minus,rel_gap
0,2.29642450e-04,9.41130915e-04,3.098245
1,5.26315998e-04,2.08050152e-03,2.952951
2,1.01890659e-03,1.15530728e-03,0.133870
3,2.34984211e-04,2.56920629e-03,9.933527
4,2.36458887e-04,3.08258971e-03,12.036472
5,4.57238202e-04,4.41567681e-04,0.035488
6,1.98442780e-04,3.21661850e-04,0.620930
7,3.16165591e-04,5.42525388e-03,16.159533
8,4.53596236e-03,6.31567603e-03,0.392356
9,3.85174295e-03,3.24436929e-03,0.187209
10,5.07249322e-04,1.28620891e-02,24.356543
11,1.39971264e-03,1.71101431e-03,0.222404
