window,L_plus,L_minus,rel_gap
0,2.35649539e-04,8.81388492e-04,2.740251
1,5.53486403e-04,1.97531353e-03,2.568856
2,1.11192197e-03,1.09304918e-03,0.017266
3,2.41817921e-04,2.60063377e-03,9.754512
4,2.29941521e-04,3.07210675e-03,12.360383
5,4.46326012e-04,4.54645080e-04,0.018639
6,2.00142356e-04,3.07541632e-04,0.536614
7,2.97149934e-04,5.15810959e-03,16.358609
8,5.21966210e-03,5.51206293e-03,0.056019
9,3.73508316e-03,3.30953347e-03,0.128583
10,4.89555532e-04,1.25951041e-02,24.727631
11,1.41570321e-03,1.61328190e-03,0.139562
