window,L_plus,L_minus,rel_gap
0,2.23219438e-04,9.27684654e-04,3.155931
1,5.34246385e-04,2.01691291e-03,2.775249
2,1.08769722e-03,1.11735601e-03,0.027267
3,2.32821869e-04,2.67467392e-03,10.488070
4,2.33716404e-04,3.08675459e-03,12.207265
5,4.39693453e-04,4.61502641e-04,0.049601
6,2.00343275e-04,3.17281461e-04,0.583689
7,3.04399320e-04,5.24392258e-03,16.227117
8,5.11883991e-03,5.61688188e-03,0.097296
9,3.77548696e-03,3.27206799e-03,0.153853
10,4.62640775e-04,1.20916348e-02,25.136120
11,1.60675158e-03,1.42167648e-03,0.130181
