window,L_plus,L_minus,rel_gap
0,2.35649539e-04,8.81388492e-04,2.740251
1,5.53486403e-04,1.97531353e-03,2.568856
2,1.11379346e-03,1.09120109e-03,0.020704
3,2.38323017e-04,2.50566169e-03,9.513721
4,2.31721206e-04,3.09166778e-03,12.342188
5,4.59159171e-04,4.41936223e-04,0.038972
6,2.00247232e-04,3.13396391e-04,0.565047
7,3.01501888e-04,5.22037782e-03,16.314578
8,5.23817213e-03,5.49305463e-03,0.048659
9,3.10801854e-03,3.95858334e-03,0.273668
10,4.56436566e-04,1.19764078e-02,25.238932
11,1.42805371e-03,1.59984804e-03,0.120300
