model,sharpe_raw,sharpe_norm1,gross_lev_mean,gross_lev_max,min_month_raw_pct,min_month_norm1_pct,wealth_raw,wealth_norm1
Market,1.0182183147221184,1.2236675542157858,3.6285268561483477,5.161601439661529,-71.01537724743918,-13.758400000000002,26.973873840803332,8.248102997804295
FF5,0.7119415303022726,0.7038028040095256,16.961613672075973,24.45374508611466,-415.13350553512083,-27.729527650678243,5279.247074791288,1.7597301155354903
q-factor,1.6147240292728096,1.5459944487378645,13.348386715004613,17.668718928581775,-56.20103816985694,-5.978816963020102,2731.131465185379,2.7499364075641033
PCA(5),0.5393632021193969,0.5857283541029443,0.44950244481851453,0.5588368856345617,-53.6389719256173,-100.8046909372039,2.0982926932039483,-0.0012942826702050433
