pair,sharpe_sdf,sharpe_bench,diff,ci_lo,ci_hi,zero_excluded
E8 vs AE(1),0.2133,0.5135,-0.3003,-1.2308,0.7564,0
E8 vs AE(3),0.2133,0.3369,-0.1236,-1.0589,1.1396,0
E8 vs AE(5),0.2133,0.5651,-0.3518,-1.4394,1.2091,0
