char,mean_w,std_w,t_stat,mean_abs_w,n_months
size,0.02604,0.16343,1.254,0.12364,62
st_rev,0.02912,0.14479,1.584,0.10181,62
turnover,0.09573,0.14745,5.112,0.12583,62
vol,0.03261,0.15984,1.607,0.11657,62
bm,0.03079,0.28718,0.844,0.21167,62
mom,-0.02755,0.22331,-0.972,0.17099,62
roe,-0.05720,0.24430,-1.844,0.19235,62
ag,0.10896,0.33451,2.565,0.23698,62
ac,0.12513,0.35832,2.750,0.23799,62
noa,-0.02036,0.13258,-1.209,0.07084,62
nsi,0.02644,0.26295,0.792,0.19473,62
gp,0.01219,0.34098,0.282,0.22644,62
cei,0.08078,0.36087,1.763,0.23767,62
ita,0.01824,0.12609,1.139,0.08355,62
ig,0.12332,0.39666,2.448,0.32862,62
dist,0.06140,0.31104,1.554,0.22979,62
oscore,0.03230,0.18294,1.390,0.11471,62
cbop,0.04595,0.21621,1.673,0.15674,62
dy,0.00040,0.44253,0.007,0.32310,62
