pair,sharpe_sdf,sharpe_bench,diff,ci_lo,ci_hi,zero_excluded
E8 vs FF5,0.2133,0.7119,-0.4987,-2.1348,-0.1460,1
E8 vs q-factor,0.2133,1.6147,-1.4015,-2.5032,0.0141,0
E8 vs LASSO,0.5815,0.7421,-0.1606,-1.1590,1.1719,0
E8 vs PCA(5),0.2133,0.5394,-0.3261,-1.2819,0.8881,0
E8 vs Market,0.2133,1.0182,-0.8050,-1.6614,0.0572,0
