month,size,st_rev,turnover,vol,bm,mom,roe,ag,ac,noa,nsi,gp,cei,ita,ig,dist,oscore,cbop,dy
2020-07,-0.00420,0.01326,0.00830,0.01809,-0.00196,-0.01662,-0.02238,0.00112,0.00168,-0.00332,0.00862,-0.01197,-0.00469,0.01241,0.00024,0.01621,0.01876,0.01410,0.00193
2020-08,-0.00366,0.01583,0.01540,0.02446,-0.01269,0.00577,-0.02499,-0.00569,0.00068,0.00434,0.01443,-0.01664,-0.01438,-0.00042,0.00397,0.01463,0.02000,0.00269,-0.00166
2020-09,-0.00105,0.02473,0.02306,0.03379,-0.01349,0.00807,-0.02532,0.00069,0.00482,0.00141,0.01555,-0.01408,-0.01056,0.00176,0.00581,0.01332,0.01997,0.00460,-0.00394
2020-10,-0.00246,0.02540,0.01638,0.03201,-0.01578,0.01091,-0.02715,0.00117,0.00904,0.00046,0.01868,-0.01721,-0.01188,-0.00146,0.00440,0.01715,0.02275,0.00288,0.00248
2020-11,-0.00524,0.03541,0.01254,0.03871,-0.01542,0.00831,-0.02231,-0.00045,0.00895,0.00235,0.01551,-0.01770,-0.01181,-0.00368,0.00466,0.01612,0.02054,0.00414,0.00061
2020-12,-0.00196,0.00868,0.00707,0.02356,-0.01241,0.00615,-0.02480,-0.00128,0.00507,0.00296,0.01370,-0.01755,-0.01101,-0.00230,0.00638,0.01396,0.01889,0.00432,-0.00167
2021-01,-0.00003,0.01063,0.00605,0.02580,-0.01200,0.00579,-0.02118,-0.00081,0.00523,0.00046,0.01470,-0.01415,-0.01059,-0.00323,0.00750,0.01400,0.01688,0.00521,0.00060
2021-02,-0.00432,0.00505,0.00113,0.02612,-0.01306,0.00607,-0.02214,-0.00250,0.00555,-0.00261,0.01781,-0.01187,-0.01241,-0.00387,0.00472,0.01713,0.02199,0.00501,0.00110
2021-03,-0.00471,0.00349,0.00880,0.02584,-0.01226,0.00608,-0.02283,0.00101,0.00744,0.00159,0.01768,-0.01621,-0.00797,-0.00196,0.00581,0.01549,0.01962,0.00247,0.00038
2021-04,-0.00453,-0.00773,0.00480,0.02321,-0.01136,0.00436,-0.02029,0.00295,0.00825,0.00012,0.01639,-0.01445,-0.00835,-0.00380,0.00464,0.01496,0.01741,0.00306,0.00197
2021-05,-0.00396,0.00965,0.00261,0.02729,-0.01181,0.00397,-0.02143,0.00384,0.00960,0.00183,0.01545,-0.01740,-0.00795,-0.00347,0.00504,0.01554,0.01941,0.00153,-0.00202
2021-06,-0.00137,0.00171,0.00133,0.02522,-0.01095,0.00488,-0.02017,0.00444,0.00972,0.00163,0.01390,-0.01323,-0.00795,-0.00484,0.00436,0.01344,0.01526,0.00412,0.00009
2021-07,-0.09366,-0.00178,0.42370,0.48453,0.00262,0.31814,-0.62481,0.21063,0.28968,0.11690,0.26753,-0.37223,0.06435,-0.00064,0.31839,0.40086,0.41411,0.18667,0.10472
