pair,sharpe_sdf,sharpe_bench,diff,ci_lo,ci_hi,zero_excluded
E2 vs FF5,0.2323,0.7119,-0.4797,-2.1163,-0.1433,1
E2 vs q-factor,0.2323,1.6147,-1.3824,-2.4776,0.0495,0
E2 vs PCA(5),0.2323,0.5394,-0.3071,-1.2880,0.9446,0
E2 vs Market,0.2323,1.0182,-0.7859,-1.6584,0.0606,0
