char,mean_w,std_w,t_stat,mean_abs_w,n_months
mom,-0.03664,0.08549,-3.375,0.06351,62
ag,0.25977,0.39583,5.167,0.34305,62
ac,0.32270,0.46012,5.522,0.40152,62
noa,0.09980,0.14371,5.468,0.11783,62
nsi,0.10135,0.34007,2.347,0.24931,62
gp,0.01433,0.22157,0.509,0.16456,62
cei,0.26285,0.43443,4.764,0.37712,62
ita,0.18203,0.17788,8.058,0.18308,62
ig,0.06179,0.49577,0.981,0.37887,62
dist,-0.10036,0.19770,-3.997,0.14087,62
oscore,-0.11738,0.14689,-6.292,0.12491,62
