name,n_windows,n_oos_months,sharpe_pooled,sharpe_mean_win,r2,ev,rms_alpha_pct,max_alpha_pct
AE(1),6,72,0.5135035938,0.1946532359,-1.1860617394,0.2791402029,6.8487937095,32.2204168874
AE(3),6,72,0.3368519244,0.1107359963,-1.2500871239,0.2166703663,7.8050587597,37.1669391561
AE(5),6,72,0.5650814581,0.4629251214,-1.3005349897,0.2082853451,7.8318921184,42.1219291244
