model,E5A
arch,cpz
charset,sy
states,lstm
critic,True
n_features,11
n_windows,6
n_oos_months,72
sharpe_pooled,0.1715
sharpe_mean_win,-0.2663
ev,0.2909
rms_alpha_pct,7.4355
max_alpha_pct,34.2801
critic_alpha_pct,3.3899
