pair,sharpe_sdf,sharpe_bench,diff,ci_lo,ci_hi,zero_excluded
E2 vs AE(1),0.2323,0.5135,-0.2812,-1.2330,0.8105,0
E2 vs AE(3),0.2323,0.3369,-0.1046,-1.0397,1.1852,0
E2 vs AE(5),0.2323,0.5651,-0.3328,-1.4526,1.2474,0
