name,n_windows,n_oos_months,sharpe_pooled,sharpe_mean_win,r2,ev,rms_alpha_pct,max_alpha_pct
IPCA(1),6,72,0.5224245194,0.2178900551,-1.1988441908,0.2821384164,6.8480454793,30.6647229568
IPCA(3),6,72,0.4483472464,0.2674113657,-1.2003284710,0.1724903550,7.5447802922,43.2062944092
IPCA(5),6,72,0.5637892972,0.5608122739,-1.1824994189,0.1890975171,7.9709148324,40.1246936098
