seed,member_sharpe,committed_sharpe,diff
42,0.232300,0.232300,0.00e+00
43,0.746500,0.746500,0.00e+00
44,0.743400,0.743400,0.00e+00
100,0.255900,0.255900,0.00e+00
101,0.154500,0.154500,0.00e+00
102,0.612600,0.612600,0.00e+00
103,0.222400,0.222400,0.00e+00
104,0.557500,0.557500,0.00e+00
105,0.713600,0.713600,0.00e+00
106,0.324300,0.324300,0.00e+00
107,0.293900,0.293900,0.00e+00
108,0.532200,0.532200,0.00e+00
109,0.664000,0.664000,0.00e+00
