ticker,year,month,ret_monthly,size,st_rev,turnover,vol,bm,mom,roe,ag,ac,noa,nsi,gp,cei,ita,ig,dist,oscore,investment,cbop,dy
DERIM,2008,2,0.158824,-0.9841305314901244,,-0.2283470326818716,,,,,,,,,,,,,,,,,
DESA,2008,2,0.068966,-0.5634772020776619,,-0.19019892838605196,,,,,,,,,,,,,,,,,
DEVA,2008,2,-0.1,0.9602089867147386,,-0.33437155904446797,,,,,,,,,,,,,,,,,
DGATE,2008,2,0.044444,-0.8294484440776185,,-0.27185207687177854,,,,,,,,,,,,,,,,,
DGNMO,2008,2,0.157895,-0.7431504079537126,,-0.3294246786237399,,,,,,,,,,,,,,,,,
DITAS,2008,2,0.065502,-0.9089129136851779,,0.037481105325358234,,,,,,,,,,,,,,,,,
DMSAS,2008,2,0.050847,-0.7152556461011891,,-0.3032795103898969,,,,,,,,,,,,,,,,,
DOAS,2008,2,0.131148,0.978298058610853,,-0.2801180810808341,,,,,,,,,,,,,,,,,
DOGUB,2008,2,-0.072165,-1.0150184649491751,,-0.21283620349452176,,,,,,,,,,,,,,,,,
DOHOL,2008,2,-0.018987,1.5929111997407235,,-0.28905164240449754,,,,,,,,,,,,,,,,,
DOKTA,2008,2,-0.072848,0.18027048995833592,,-0.32554901524064933,,,,,,,,,,,,,,,,,
DURDO,2008,2,0.007042,-1.047325891371083,,0.9279591274908859,,,,,,,,,,,,,,,,,
DYOBY,2008,2,0.210526,0.1095247416227354,,-0.31794343137125786,,,,,,,,,,,,,,,,,
ECILC,2008,2,0.145729,1.0295563655217608,,-0.25547153782965476,,,,,,,,,,,,,,,,,
EGEEN,2008,2,0.0625,-0.7578188158642831,,-0.32781863481970686,,,,,,,,,,,,,,,,,
EGGUB,2008,2,0.0625,-0.0365584692014697,,0.4230358379636177,,,,,,,,,,,,,,,,,
EGPRO,2008,2,0.265823,0.19266905738288465,,-0.31137483288521617,,,,,,,,,,,,,,,,,
EGSER,2008,2,0.316176,-0.16721088141615592,,0.8308344887444928,,,,,,,,,,,,,,,,,
EMKEL,2008,2,0.017857,-1.2751422142817526,,-0.2560167092831558,,,,,,,,,,,,,,,,,
EMNIS,2008,2,0.418803,-1.008652450725631,,-0.3276143246771685,,,,,,,,,,,,,,,,,
ENKAI,2008,2,0.127273,2.4471562584061255,,-0.33070395938999725,,,,,,,,,,,,,,,,,
EPLAS,2008,2,0.057471,-1.0638641361744545,,-0.31793578112106596,,,,,,,,,,,,,,,,,
EREGL,2008,2,0.191781,2.2242961466390554,,-0.2803550463352762,,,,,,,,,,,,,,,,,
ERSU,2008,2,0.03125,-0.9235056527983507,,-0.3277364550586562,,,,,,,,,,,,,,,,,
ESCOM,2008,2,0.048,-1.1975612450986461,,0.199016293823436,,,,,,,,,,,,,,,,,
FENER,2008,2,0.162791,1.2522024229154998,,-0.14749687677999807,,,,,,,,,,,,,,,,,
FMIZP,2008,2,0.085938,0.06496992274204028,,1.2056114462354208,,,,,,,,,,,,,,,,,
FRIGO,2008,2,0.057143,-1.2412436594184004,,0.04054990197726041,,,,,,,,,,,,,,,,,
FROTO,2008,2,-0.033333,1.900395035657733,,-0.30847150338798257,,,,,,,,,,,,,,,,,
GENTS,2008,2,0.044643,-0.34139946425641227,,-0.29789085951356586,,,,,,,,,,,,,,,,,
GEREL,2008,2,0.023256,-1.304789735154039,,-0.08463350424824233,,,,,,,,,,,,,,,,,
GLRYH,2008,2,-0.032258,-2.0026474961173144,,-0.13402336418892138,,,,,,,,,,,,,,,,,
GLYHO,2008,2,-0.164286,0.39694224301922787,,-0.20483516295572682,,,,,,,,,,,,,,,,,
GOLTS,2008,2,0.0,0.6110385394629714,,-0.33466177436799033,,,,,,,,,,,,,,,,,
GOODY,2008,2,0.178571,0.11427080455030911,,0.16383487608869723,,,,,,,,,,,,,,,,,
GSDDE,2008,2,-0.044118,-1.3438204845610986,,-0.22023978640932546,,,,,,,,,,,,,,,,,
GSDHO,2008,2,0.041667,0.24607887126894776,,-0.07899221891128136,,,,,,,,,,,,,,,,,
GSRAY,2008,2,0.038462,0.29785675483962926,,0.2374967347001409,,,,,,,,,,,,,,,,,
GUBRF,2008,2,0.398148,0.5369656508996439,,-0.019161707098318114,,,,,,,,,,,,,,,,,
HEKTS,2008,2,-0.023256,-0.24974458753098439,,7.156862853487167,,,,,,,,,,,,,,,,,
HURGZ,2008,2,-0.070064,1.2430434798838097,,-0.3302865328426767,,,,,,,,,,,,,,,,,
IEYHO,2008,2,-0.013889,-1.0836097423118696,,-0.286203198906368,,,,,,,,,,,,,,,,,
IHEVA,2008,2,0.231527,0.1950540693022403,,0.1489283735176377,,,,,,,,,,,,,,,,,
IHLAS,2008,2,0.265823,0.6200023275327806,,-0.1074545424456521,,,,,,,,,,,,,,,,,
IHLGM,2008,2,-0.047619,-1.9595443119442841,,-0.3285104426449642,,,,,,,,,,,,,,,,,
INDES,2008,2,0.173077,-0.1210230610048817,,-0.19571448324515087,,,,,,,,,,,,,,,,,
INGRM,2008,2,0.034091,-0.9697662577667998,,-0.3129415644951286,,,,,,,,,,,,,,,,,
INTEM,2008,2,0.117886,-0.8588404531754815,,-0.31749764993940466,,,,,,,,,,,,,,,,,
INVEO,2008,2,-0.012658,-1.7363872127061244,,0.9694953105030129,,,,,,,,,,,,,,,,,
IZMDC,2008,2,0.147059,0.4525867715221061,,-0.2747034181945417,,,,,,,,,,,,,,,,,
KAPLM,2008,2,0.088235,-0.7027489561158003,,-0.28799390791514573,,,,,,,,,,,,,,,,,
KAREL,2008,2,0.0,-0.5973967355633488,,0.14494255436425957,,,,,,,,,,,,,,,,,
KARSN,2008,2,0.371728,0.39432909848168946,,-0.23919203337187728,,,,,,,,,,,,,,,,,
