ticker,year,month,ret_monthly,size,st_rev,turnover,vol,bm,mom,roe,ag,ac,noa,nsi,gp,cei,ita,ig,dist,oscore,investment,cbop,dy
A1YEN,2021,8,0.399083,20.547423246250165,,17.686420552907286,,0.6960958158543252,,0.07110659640094831,0.14867879964498493,0.14627871402346176,0.9949594077449124,,0.07934950069311597,0.2733511122092247,0.1998852239274189,,0.21732752178863646,-6.62004054202428,0.14867879964498493,-0.0751022789619368,
A1YEN,2021,9,0.043279,20.589791575955754,0.399083,9.581788111504514,,0.6960958158543252,,0.07110659640094831,0.14867879964498493,0.14627871402346176,0.9949594077449124,,0.07934950069311597,0.2733511122092247,0.1998852239274189,,0.21732752178863646,-6.62004054202428,0.14867879964498493,-0.0751022789619368,
A1YEN,2021,10,0.389063,20.918421368981523,0.043279,10.650954038359707,,0.6960958158543252,,0.07110659640094831,0.14867879964498493,0.14627871402346176,0.9949594077449124,,0.07934950069311597,0.2733511122092247,0.1998852239274189,,0.21732752178863646,-6.62004054202428,0.14867879964498493,-0.0751022789619368,
A1YEN,2021,11,-0.353394,20.482403732469038,0.389063,16.907300113124528,,0.6960958158543252,,0.07110659640094831,0.14867879964498493,0.14627871402346176,0.9949594077449124,,0.07934950069311597,0.2733511122092247,0.1998852239274189,,0.21732752178863646,-6.62004054202428,0.14867879964498493,-0.0751022789619368,
A1YEN,2021,12,0.056683,20.537538512280513,-0.353394,11.790790597785394,,0.6960958158543252,,0.07110659640094831,0.14867879964498493,0.14627871402346176,0.9949594077449124,,0.07934950069311597,0.2733511122092247,0.1998852239274189,,0.21732752178863646,-6.62004054202428,0.14867879964498493,-0.0751022789619368,
A1YEN,2022,1,0.315232,20.81155143254648,0.056683,11.230659219495143,,0.6960958158543252,,0.07110659640094831,0.14867879964498493,0.14627871402346176,0.9949594077449124,,0.07934950069311597,0.2733511122092247,0.1998852239274189,,0.21732752178863646,-6.62004054202428,0.14867879964498493,-0.0751022789619368,
A1YEN,2022,2,-0.033736,20.77723308104635,0.315232,6.669483341171364,,0.6960958158543252,,0.07110659640094831,0.14867879964498493,0.14627871402346176,0.9949594077449124,,0.07934950069311597,0.2733511122092247,0.1998852239274189,,0.21732752178863646,-6.62004054202428,0.14867879964498493,-0.0751022789619368,
A1YEN,2022,3,-0.114643,20.655468665409025,-0.033736,7.592532974537984,0.24817796776126072,0.6960958158543252,,0.07110659640094831,0.14867879964498493,0.14627871402346176,0.9949594077449124,,0.07934950069311597,0.2733511122092247,0.1998852239274189,,0.21732752178863646,-6.62004054202428,0.14867879964498493,-0.0751022789619368,
A1YEN,2022,4,-0.167157,20.472558340327005,-0.114643,11.961745992809135,0.2473126118972344,0.6960958158543252,,0.07110659640094831,0.14867879964498493,0.14627871402346176,0.9949594077449124,,0.07934950069311597,0.2733511122092247,0.1998852239274189,,0.21732752178863646,-6.62004054202428,0.14867879964498493,-0.0751022789619368,
A1YEN,2022,5,-0.072085,20.397743440227437,-0.167157,4.643847321671349,0.237913057797276,0.6960958158543252,,0.07110659640094831,0.14867879964498493,0.14627871402346176,0.9949594077449124,,0.07934950069311597,0.2733511122092247,0.1998852239274189,,0.21732752178863646,-6.62004054202428,0.14867879964498493,-0.0751022789619368,
A1YEN,2022,6,-0.031226,20.366019322101547,-0.072085,5.836357508186496,0.2279315311498841,0.6960958158543252,,0.07110659640094831,0.14867879964498493,0.14627871402346176,0.9949594077449124,,0.07934950069311597,0.2733511122092247,0.1998852239274189,,0.21732752178863646,-6.62004054202428,0.14867879964498493,-0.0751022789619368,
A1YEN,2022,7,0.084119,20.44678743223568,-0.031226,5.457393603785661,0.21858082821229366,1.4225446413774792,,0.06861367598999374,1.145069198739729,1.1041892242727087,0.978592501002258,,0.02220056277687889,0.8850049351379776,1.0730771511447854,,0.23258161762994978,-7.5985955193411545,1.145069198739729,-0.693251233205276,
