window,L_plus,L_minus,rel_gap
0,2.44999741e-04,8.87034519e-04,2.620553
1,5.83575689e-04,1.95136573e-03,2.343809
2,1.02882099e-03,1.14460126e-03,0.112537
3,2.46670679e-04,2.55827932e-03,9.371234
4,2.38630601e-04,3.06550786e-03,11.846248
5,4.70544212e-04,4.29091917e-04,0.096605
6,1.98653361e-04,3.19726591e-04,0.609470
7,3.02024011e-04,5.29352995e-03,16.526851
8,5.46713173e-03,5.30778989e-03,0.030020
9,3.45109007e-03,3.63147096e-03,0.052268
10,4.67483071e-04,1.06547689e-02,21.791775
11,1.63166726e-03,1.47130224e-03,0.108995
