window,L_plus,L_minus,rel_gap
0,2.37667307e-04,8.75315163e-04,2.682943
1,5.27613563e-04,2.03389022e-03,2.854886
2,1.06900139e-03,1.13659608e-03,0.063232
3,2.44504656e-04,2.58605508e-03,9.576711
4,2.30863880e-04,3.06638912e-03,12.282239
5,4.43639612e-04,4.57396818e-04,0.031010
6,2.00451439e-04,2.96504382e-04,0.479183
7,2.98425031e-04,5.20036649e-03,16.426040
8,5.34870615e-03,5.38095413e-03,0.006029
9,3.30147846e-03,3.74374026e-03,0.133959
10,4.45967715e-04,1.14206690e-02,24.608735
11,1.70308026e-03,1.33645709e-03,0.274325
