window,L_plus,L_minus,rel_gap
0,2.36292180e-04,8.79450818e-04,2.721879
1,5.03371179e-04,2.09383736e-03,3.159629
2,1.05296040e-03,1.15348131e-03,0.095465
3,2.40842724e-04,2.60961032e-03,9.835330
4,2.29175115e-04,3.02485633e-03,12.198886
5,4.74953151e-04,4.27238119e-04,0.111683
6,1.99744842e-04,3.11280339e-04,0.558390
7,2.99739564e-04,5.25804935e-03,16.542060
8,5.19878464e-03,5.53358952e-03,0.064401
9,3.43107758e-03,3.60749010e-03,0.051416
10,4.52699896e-04,1.18692042e-02,25.218703
11,1.52398879e-03,1.50069781e-03,0.015520
