window,L_plus,L_minus,rel_gap
0,2.44299445e-04,8.88540875e-04,2.637097
1,5.63450332e-04,1.99958356e-03,2.548820
2,1.14433479e-03,1.02906546e-03,0.112014
3,2.45513598e-04,2.53322651e-03,9.318070
4,2.42753187e-04,3.05158435e-03,11.570728
5,4.65190737e-04,4.34019428e-04,0.071820
6,1.98594964e-04,3.04940564e-04,0.535490
7,3.05578957e-04,5.33444248e-03,16.456838
8,4.80981264e-03,5.99918049e-03,0.247279
9,3.35284183e-03,3.73429875e-03,0.113771
10,5.14044776e-04,1.30807981e-02,24.446807
11,1.56236021e-03,1.53783977e-03,0.015945
