pair,sharpe_sdf,sharpe_bench,diff,ci_lo,ci_hi,zero_excluded
E8 vs AE(1),0.0250,-0.2945,0.3195,-0.5580,0.7842,0
E8 vs AE(3),0.0250,0.9981,-0.9731,-1.7693,-0.0136,1
E8 vs AE(5),0.0250,1.1031,-1.0781,-2.2337,-0.0126,1
