pair,sharpe_sdf,sharpe_bench,diff,ci_lo,ci_hi,zero_excluded
E2 vs FF5,0.2575,-0.2360,0.4934,-1.5478,2.4216,0
E2 vs q-factor,0.2575,-0.0635,0.3210,-1.7039,2.2528,0
E2 vs LASSO,-0.0972,0.5087,-0.6059,-1.5613,0.5971,0
E2 vs PCA(5),-0.0972,0.4667,-0.5639,-1.4077,0.0965,0
E2 vs Market,-0.0972,0.1267,-0.2240,-1.2066,0.6444,0
