name,n_windows,n_oos_months,sharpe_pooled,sharpe_mean_win,r2,ev,rms_alpha_pct,max_alpha_pct
AE(1),6,72,-0.2944947780,-0.2713960282,-0.6017500423,0.2599198041,6.2153020500,28.3425439025
AE(3),6,72,0.9981412799,1.3364757687,-0.6236646220,0.1158874700,5.1408910500,27.3307995221
AE(5),6,72,1.1031094529,1.6206041824,-0.6449600342,0.1177778402,5.3318008794,29.1145552964
