pair,sharpe_sdf,sharpe_bench,diff,ci_lo,ci_hi,zero_excluded
E2 vs AE(1),-0.0972,-0.2945,0.1973,-0.7580,0.6055,0
E2 vs AE(3),-0.0972,0.9981,-1.0954,-2.0002,-0.1246,1
E2 vs AE(5),-0.0972,1.1031,-1.2004,-2.4975,-0.1367,1
