pair,sharpe_sdf,sharpe_bench,diff,ci_lo,ci_hi,zero_excluded
E8 vs FF5,0.0951,-0.2360,0.3310,-1.6326,2.1512,0
E8 vs q-factor,0.0951,-0.0635,0.1586,-1.8188,2.0501,0
E8 vs LASSO,-0.4686,0.2754,-0.7440,-1.5226,0.1635,0
E8 vs PCA(5),-0.4686,0.8721,-1.3407,-2.4182,-0.4391,1
E8 vs Market,-0.4686,0.2013,-0.6700,-2.0618,0.2415,0
