month,mom,ag,ac,noa,nsi,gp,cei,ita,dist,oscore
2019-10,0.02099,0.00337,-0.05494,-0.02679,0.00000,-0.01677,0.00070,0.02051,-0.00071,0.05009
2019-11,0.00469,0.03500,0.02653,-0.02258,0.00000,-0.01512,0.03687,0.02667,0.02193,0.01924
2019-12,0.00382,0.03465,0.02575,-0.02175,0.00000,-0.01522,0.03693,0.02703,0.02192,0.01956
2020-01,0.00352,0.03479,0.02546,-0.02163,0.00000,-0.01545,0.03679,0.02717,0.02259,0.01971
2020-02,0.00448,0.03433,0.02533,-0.02212,0.00000,-0.01501,0.03568,0.02689,0.02070,0.01918
2020-03,0.00501,0.03604,0.02639,-0.02307,0.00000,-0.01503,0.03828,0.02741,0.01530,0.01875
2020-04,0.00473,0.03540,0.02621,-0.02122,0.00000,-0.01511,0.03823,0.02666,0.02244,0.01881
2020-05,0.00588,0.03769,0.02764,-0.02189,0.00000,-0.01525,0.04069,0.02744,0.02318,0.02021
2020-06,0.00481,0.03843,0.02780,-0.02168,0.00000,-0.01538,0.04125,0.02763,0.02462,0.02046
2020-07,0.00566,0.03385,0.02536,-0.02257,0.00000,-0.01520,0.03743,0.02679,0.02392,0.01996
2020-08,0.00512,0.03420,0.02598,-0.02567,0.00000,-0.01533,0.03706,0.02683,0.02582,0.02052
2020-09,0.00545,0.03385,0.02582,-0.02548,0.00000,-0.01529,0.03756,0.02679,0.02592,0.02055
2020-10,-0.05214,0.06926,0.04802,0.00635,0.00000,-0.00570,0.06370,0.05569,0.04474,0.01040
2020-11,-0.02745,0.03643,0.01835,-0.00320,-0.02080,-0.01174,0.01061,0.04802,0.02806,0.01146
2020-12,-0.02772,0.03649,0.01985,-0.00187,-0.02116,-0.01297,0.00884,0.04821,0.02826,0.01329
2021-01,-0.02708,0.03711,0.02021,-0.00143,-0.02120,-0.01370,0.00858,0.04863,0.02809,0.01367
2021-02,-0.02665,0.03636,0.01996,-0.00117,-0.02118,-0.01447,0.00802,0.04808,0.02811,0.01315
2021-03,-0.02639,0.03706,0.02017,-0.00091,-0.01914,-0.01609,0.00793,0.04920,0.02758,0.01342
2021-04,-0.02781,0.03729,0.02234,0.00006,-0.02014,-0.01466,0.00789,0.04835,0.02730,0.01471
2021-05,-0.02760,0.03705,0.02206,-0.00074,-0.01696,-0.01653,0.00727,0.04870,0.02734,0.01517
2021-06,-0.02880,0.03903,0.02159,0.00202,-0.02028,-0.01336,0.00888,0.04925,0.02647,0.01358
2021-07,-0.02922,0.03707,0.02176,0.00342,-0.02068,-0.01232,0.00751,0.04811,0.02639,0.01473
2021-08,-0.02861,0.03677,0.02156,0.00239,-0.02062,-0.01246,0.00752,0.04765,0.02671,0.01467
2021-09,-0.02796,0.03701,0.02059,0.00216,-0.02106,-0.01256,0.00787,0.04837,0.02680,0.01358
2021-10,-0.04831,1.45480,0.33491,-0.27387,0.31936,0.65281,0.48683,0.92614,0.69965,-1.19763
2021-11,-0.00263,1.29255,1.76306,-0.74533,0.00000,0.85113,2.12846,9.50416,0.93438,-1.56427
2021-12,-0.06779,1.25481,1.69260,-0.75437,0.00000,0.75599,1.77158,0.85148,0.93194,-1.43522
2022-01,-0.05608,1.25310,1.69807,-0.73852,0.00000,0.76158,1.79126,0.85901,0.95077,-1.44568
2022-02,-0.06714,1.21992,1.64994,-0.71947,0.00000,0.76382,1.74884,0.82101,0.92519,-1.46854
2022-03,-0.09047,1.15939,1.57968,-0.72038,0.00000,0.76714,1.67847,0.76523,0.88388,-1.48735
2022-04,-0.05861,1.05722,1.50639,-0.67231,0.00000,0.62608,1.52045,0.70855,0.80327,-1.29803
2022-05,-0.03079,0.99130,1.39923,-0.62393,0.00000,0.70103,1.54937,0.68754,0.70519,-1.41840
2022-06,-0.15790,0.89590,1.26295,-0.78150,-903.17091,0.78984,1.47653,0.56159,0.64704,-1.54624
2022-07,-0.08115,0.77465,1.20597,-0.11692,0.00000,0.61509,1.22787,0.43830,0.77592,-1.49718
2022-08,-0.12124,0.68312,1.04107,-0.28700,-820.75412,0.61570,1.18288,0.35940,0.68729,-1.38415
2022-09,-0.13911,0.71382,1.09679,-0.30747,0.00000,0.55416,1.13118,0.36880,0.75718,-1.26477
2022-10,-0.01693,-0.00823,-0.00798,-0.01489,0.03459,-0.01228,-0.00214,-0.00043,-0.02659,-0.01063
2022-11,-0.01662,-0.05184,-0.05179,-0.05874,-0.01842,-0.02936,-0.07387,-0.06938,-0.05031,-0.03194
2022-12,-0.01394,-0.05169,-0.05164,-0.05753,-0.01860,-0.03420,-0.07287,-0.06921,-0.05031,-0.03725
2023-01,-0.01442,-0.05168,-0.05163,-0.05786,-0.01842,-0.03393,-0.07317,-0.07024,-0.05034,-0.03402
2023-02,-0.01650,-0.05145,-0.05140,-0.05691,-0.01813,-0.02964,-0.07285,-0.06940,-0.05022,-0.03187
2023-03,-0.01675,-0.05201,-0.05197,-0.05742,-0.01766,-0.02799,-0.07350,-0.07012,-0.05060,-0.03141
2023-04,-0.01758,-0.05227,-0.05222,-0.05650,-0.01731,-0.02793,-0.07528,-0.07046,-0.05053,-0.03021
2023-05,-0.01818,-0.05248,-0.05244,-0.05585,-0.01698,-0.02811,-0.07672,-0.07055,-0.05102,-0.03058
2023-06,-0.01706,-0.05204,-0.05199,-0.05604,-0.01756,-0.02926,-0.07432,-0.06990,-0.05040,-0.02999
2023-07,-0.01629,-0.05187,-0.05182,-0.05591,-0.01787,-0.02877,-0.07329,-0.06927,-0.05015,-0.02945
2023-08,-0.01625,-0.05183,-0.05179,-0.05587,-0.01786,-0.02913,-0.07433,-0.07056,-0.05018,-0.02991
2023-09,-0.01572,-0.05213,-0.05209,-0.05592,-0.01781,-0.02910,-0.07429,-0.06943,-0.05015,-0.02980
2023-10,0.00610,0.02169,0.02168,0.00709,0.02754,0.01568,0.03157,0.02902,0.01805,0.00799
2023-11,0.01579,0.01950,0.01953,-0.01004,0.04467,0.01756,0.02190,0.02594,0.02408,-0.01378
2023-12,0.01591,0.01975,0.01978,-0.01003,0.04464,0.01743,0.02214,0.02598,0.02429,-0.01464
2024-01,0.01603,0.01976,0.01979,-0.01004,0.04465,0.01744,0.02224,0.02610,0.02424,-0.01439
2024-02,0.01561,0.01998,0.02001,-0.01041,0.04510,0.01761,0.02240,0.02656,0.02426,-0.01436
2024-03,0.01668,0.01999,0.02002,-0.01027,0.04487,0.01701,0.02237,0.02614,0.02440,-0.01460
2024-04,0.01645,0.01959,0.01962,-0.01079,0.04508,0.01677,0.02189,0.02593,0.02427,-0.01480
2024-05,0.01682,0.01946,0.01949,-0.01043,0.04509,0.01756,0.02189,0.02580,0.02395,-0.01587
2024-06,0.01528,0.01923,0.01926,-0.00900,0.04489,0.01882,0.02157,0.02543,0.02343,-0.01689
2024-07,0.01482,0.01870,0.01873,-0.00832,0.04435,0.01949,0.02116,0.02476,0.02282,-0.01816
2024-08,0.01456,0.01861,0.01865,-0.00778,0.04435,0.01984,0.02102,0.02464,0.02258,-0.01867
2024-09,0.01397,0.01834,0.01838,-0.00719,0.04442,0.02017,0.02079,0.02426,0.02217,-0.01910
2024-10,0.65683,1.21454,1.21711,-0.12165,-0.14231,-0.21706,1.37651,1.59075,1.45036,-0.56011
2024-11,0.22859,-0.65432,-0.69714,-0.90102,0.09912,-0.65914,-0.29163,-0.47077,0.80388,2.90776
2024-12,0.22786,-0.67075,-0.72212,-0.89423,0.09878,-0.66152,-0.29615,-0.47173,0.80335,2.96336
2025-01,0.22735,-0.67742,-0.72909,-0.89492,0.09873,-0.66238,-0.29873,-0.47114,0.80322,2.96572
2025-02,0.20608,-1.02790,-1.30154,-1.51222,0.06933,-0.85366,-0.40561,-0.50283,0.81850,0.92973
2025-03,0.23620,-1.06454,-1.32780,-1.51262,0.06664,-0.86695,-0.41361,-0.50649,0.82721,0.93874
2025-04,0.23666,-1.06330,-1.32662,-1.51354,0.06684,-0.86779,-0.41342,-0.50616,0.82764,0.93933
2025-05,0.23697,-1.06782,-1.32902,-1.50747,0.06573,-0.86330,-0.41185,-0.50711,0.82482,0.93504
2025-06,0.23679,-1.06763,-1.32972,-1.51102,0.06638,-0.86495,-0.41313,-0.50688,0.82592,0.93691
2025-07,0.23647,-1.07629,-1.34227,-1.51496,0.06685,-0.86702,-0.41632,-0.50620,0.82675,0.93858
2025-08,0.23631,-1.07402,-1.34251,-1.51987,0.06784,-0.87113,-0.41817,-0.50506,0.82904,0.94201
2025-09,0.23658,-1.07752,-1.34448,-1.51695,0.06727,-0.86845,-0.41760,-0.50579,0.82763,0.93964
