window,L_plus,L_minus,rel_gap
0,4.35134047e-04,4.27755935e-04,0.017248
1,3.56896373e-04,3.58966208e-04,0.005800
2,2.47287680e-04,2.46451469e-04,0.003393
3,3.43001419e-04,3.54686839e-04,0.034068
4,2.40859124e-04,2.40520923e-04,0.001406
5,3.01784225e-04,3.25990317e-04,0.080210
