char,mean_w,std_w,t_stat,mean_abs_w,n_months
mom,-0.05631,0.13615,-3.509,0.07868,72
ag,-0.50512,0.90801,-4.720,0.52301,72
ac,-0.54778,0.95450,-4.870,0.56408,72
noa,-0.27017,0.67740,-3.384,0.31781,72
nsi,-14.11382,83.78738,-1.429,14.16822,72
gp,-0.10985,0.37184,-2.507,0.19661,72
cei,-0.24925,0.39559,-5.346,0.27845,72
ita,-0.26634,0.60773,-3.719,0.29530,72
ig,0.03238,0.19293,1.424,0.11455,72
dist,0.21538,0.84415,2.165,0.38433,72
oscore,-0.50512,0.90801,-4.720,0.52301,72
