char,mean_w,std_w,t_stat,mean_abs_w,n_months
mom,0.02750,0.12234,1.907,0.06847,72
ag,0.05510,0.60068,0.778,0.36346,72
ac,0.06696,0.75150,0.756,0.43991,72
noa,-0.31483,0.50119,-5.330,0.31548,72
nsi,-23.92750,141.82018,-1.432,23.97492,72
gp,-0.01575,0.43135,-0.310,0.25658,72
cei,0.20695,0.63024,2.786,0.34620,72
ita,0.18652,1.16961,1.353,0.35955,72
dist,0.28418,0.40338,5.978,0.30034,72
oscore,-0.01842,0.89458,-0.175,0.48436,72
