name,charset,n_features,n_windows,n_oos_months,sharpe_pooled,ev,rms_alpha_pct,max_alpha_pct
lin11,sy,10,6,72,0.5233,0.1417,5.4893,45.0947
lin20,all,18,6,72,1.4960,0.1390,5.7603,34.8922
