char,mean_w,std_w,t_stat,mean_abs_w,n_months
size,-0.03050,0.05793,-4.467,0.04205,72
st_rev,0.01680,0.04374,3.260,0.02636,72
turnover,0.00566,0.02803,1.714,0.02233,72
vol,0.03302,0.07432,3.770,0.04500,72
bm,0.06698,0.20714,2.744,0.12021,72
mom,0.00616,0.04025,1.298,0.02822,72
roe,0.07454,0.21211,2.982,0.10155,72
ag,0.05823,0.21928,2.253,0.12804,72
ac,0.04260,0.19197,1.883,0.11408,72
noa,-0.08325,0.20738,-3.406,0.10674,72
gp,0.07467,0.18733,3.382,0.09687,72
cei,0.06954,0.21823,2.704,0.11835,72
ita,0.08843,0.26199,2.864,0.14014,72
dist,0.09736,0.28112,2.939,0.15921,72
oscore,0.07759,0.18603,3.539,0.10325,72
cbop,0.06869,0.17515,3.328,0.10235,72
dy,0.09199,0.20859,3.742,0.12593,72
