model,window,alpha
IPCA(1),1,0.03297989
IPCA(1),1,-0.02003906
IPCA(1),1,0.08934531
IPCA(1),1,0.06396388
IPCA(1),1,-0.03174017
IPCA(1),1,0.05141922
IPCA(1),1,0.09516327
IPCA(1),1,0.04812038
IPCA(1),1,0.22363568
IPCA(1),1,0.10892473
IPCA(1),1,0.12809838
IPCA(1),1,-0.06092711
IPCA(1),1,0.10371224
IPCA(1),1,0.05509374
IPCA(1),1,-0.02582120
IPCA(1),1,0.01884590
IPCA(1),1,-0.00454511
IPCA(1),1,0.11661301
IPCA(1),1,0.06175337
IPCA(1),1,0.00780817
IPCA(1),1,0.14482526
IPCA(1),1,-0.00585060
IPCA(1),1,-0.02693320
IPCA(1),1,0.12594140
IPCA(1),1,0.07858138
IPCA(1),1,-0.03279911
IPCA(1),1,0.05757757
IPCA(1),1,0.03085641
IPCA(1),1,0.10657162
IPCA(1),1,0.10967346
IPCA(1),1,-0.02893108
IPCA(1),1,0.19851808
IPCA(1),1,0.00788260
IPCA(1),1,0.02707198
IPCA(1),1,0.18608885
IPCA(1),1,0.12262135
IPCA(1),1,-0.02188847
IPCA(1),1,0.05227921
IPCA(1),1,0.04845384
IPCA(1),1,-0.05111936
IPCA(1),1,0.08767146
IPCA(1),1,-0.03770599
IPCA(1),1,0.07067221
IPCA(1),1,0.00451791
IPCA(1),1,0.04666082
IPCA(1),1,0.04807011
IPCA(1),1,0.09302819
IPCA(1),1,-0.02558210
IPCA(1),1,0.12653293
IPCA(1),1,0.15067767
IPCA(1),1,0.13482936
IPCA(1),1,0.02743751
IPCA(1),1,0.09997850
IPCA(1),1,0.05323685
IPCA(1),1,0.14674780
IPCA(1),1,0.00468521
IPCA(1),1,0.03381930
IPCA(1),1,0.13679712
IPCA(1),1,0.07027279
IPCA(1),1,0.02183069
IPCA(1),1,0.03672145
IPCA(1),1,0.23485649
IPCA(1),1,0.11353982
IPCA(1),1,0.11456684
IPCA(1),1,0.09198208
IPCA(1),1,0.00518548
IPCA(1),1,0.19726174
IPCA(1),1,0.01450116
IPCA(1),1,0.08078145
IPCA(1),1,0.18432561
IPCA(1),1,0.08905539
IPCA(1),1,0.03360279
IPCA(1),1,0.07113397
IPCA(1),1,0.05189099
IPCA(1),1,0.02184157
IPCA(1),1,0.13194886
IPCA(1),1,0.11130073
IPCA(1),1,0.12179185
IPCA(1),1,0.00106312
IPCA(1),1,0.09468178
IPCA(1),1,0.03713080
IPCA(1),1,0.01347639
IPCA(1),1,0.16194451
IPCA(1),1,0.02604297
IPCA(1),1,0.07642315
IPCA(1),1,0.06815077
IPCA(1),1,0.12002312
IPCA(1),1,0.12164655
IPCA(1),1,0.17545171
IPCA(1),1,0.07619230
IPCA(1),1,-0.03642797
IPCA(1),1,0.14391847
IPCA(1),1,0.03741544
IPCA(1),1,0.14405311
IPCA(1),1,0.27504983
IPCA(1),1,0.19996203
IPCA(1),1,0.11581591
IPCA(1),1,0.25648768
IPCA(1),1,0.14411479
IPCA(1),1,0.19820691
IPCA(1),1,0.10000458
IPCA(1),1,0.11859790
IPCA(1),1,0.12190772
IPCA(1),1,0.03405230
IPCA(1),1,0.08913933
IPCA(1),1,0.05328288
IPCA(1),1,0.07421530
IPCA(1),1,0.10212904
IPCA(1),1,0.08090248
IPCA(1),1,0.03201029
IPCA(1),1,0.08474661
IPCA(1),2,-0.01275616
IPCA(1),2,-0.00544383
IPCA(1),2,-0.00934777
IPCA(1),2,0.02607530
IPCA(1),2,0.04997200
IPCA(1),2,-0.02029515
IPCA(1),2,0.05461911
IPCA(1),2,-0.01706897
IPCA(1),2,-0.00877647
IPCA(1),2,0.00132536
IPCA(1),2,0.00117150
IPCA(1),2,0.13159646
IPCA(1),2,-0.00864959
IPCA(1),2,-0.02006316
IPCA(1),2,0.01785028
IPCA(1),2,0.00136533
IPCA(1),2,0.04732162
IPCA(1),2,0.00037305
IPCA(1),2,0.02398415
IPCA(1),2,0.01271073
IPCA(1),2,-0.01915292
IPCA(1),2,0.00243321
IPCA(1),2,0.01118858
IPCA(1),2,0.04705844
IPCA(1),2,0.02724361
IPCA(1),2,-0.01094857
IPCA(1),2,-0.01366500
IPCA(1),2,0.01607071
IPCA(1),2,-0.00721084
IPCA(1),2,0.02326640
IPCA(1),2,0.05266199
IPCA(1),2,0.05946107
IPCA(1),2,-0.05678684
IPCA(1),2,0.00108218
IPCA(1),2,0.06565003
IPCA(1),2,-0.00257773
IPCA(1),2,0.00983719
IPCA(1),2,0.05241554
IPCA(1),2,0.01806829
IPCA(1),2,-0.03759176
IPCA(1),2,0.11898793
IPCA(1),2,-0.00431209
IPCA(1),2,-0.00031075
IPCA(1),2,-0.02287298
IPCA(1),2,0.04117881
IPCA(1),2,0.07633402
IPCA(1),2,-0.01177284
IPCA(1),2,-0.00716778
IPCA(1),2,-0.01922577
IPCA(1),2,0.06137421
IPCA(1),2,-0.02936708
IPCA(1),2,0.03708129
IPCA(1),2,-0.02007690
IPCA(1),2,0.01610263
IPCA(1),2,-0.06462719
IPCA(1),2,-0.02958709
IPCA(1),2,-0.00317312
IPCA(1),2,0.02863186
IPCA(1),2,-0.02041127
IPCA(1),2,0.03482969
IPCA(1),2,0.04293671
IPCA(1),2,0.07465442
IPCA(1),2,0.09981436
IPCA(1),2,-0.00422793
IPCA(1),2,0.01844010
IPCA(1),2,0.08783673
IPCA(1),2,-0.01393353
IPCA(1),2,0.08640094
IPCA(1),2,0.03984788
IPCA(1),2,-0.05730922
IPCA(1),2,0.08642025
IPCA(1),2,-0.00404608
IPCA(1),2,0.06072597
IPCA(1),2,0.01991488
IPCA(1),2,0.08315795
IPCA(1),2,0.02146740
IPCA(1),2,0.07591828
IPCA(1),2,0.00690749
IPCA(1),2,0.02644582
IPCA(1),2,0.05163280
IPCA(1),2,0.02768329
IPCA(1),2,-0.01181635
IPCA(1),2,0.02379301
IPCA(1),2,-0.01732421
IPCA(1),2,0.00344588
IPCA(1),2,0.03301633
IPCA(1),2,-0.00473934
IPCA(1),2,-0.01232426
IPCA(1),2,0.02369938
IPCA(1),2,-0.02005434
IPCA(1),2,-0.00921775
IPCA(1),2,0.00830061
IPCA(1),2,-0.01099108
IPCA(1),2,-0.00215848
IPCA(1),2,0.03716866
IPCA(1),2,-0.01678682
IPCA(1),2,0.05226060
IPCA(1),2,-0.02130097
IPCA(1),2,0.07300497
IPCA(1),2,0.02967000
IPCA(1),2,0.02970379
IPCA(1),2,-0.00903092
IPCA(1),2,-0.03369229
IPCA(1),2,0.03175218
IPCA(1),2,0.09693845
IPCA(1),2,0.02658817
IPCA(1),2,0.09232301
IPCA(1),2,-0.00552643
IPCA(1),2,-0.01516287
IPCA(1),2,0.00939843
IPCA(1),2,-0.02190340
IPCA(1),2,0.00705039
IPCA(1),2,0.01863131
IPCA(1),2,-0.01346714
IPCA(1),2,0.02139238
IPCA(1),2,0.02056831
IPCA(1),2,-0.02116766
IPCA(1),2,0.08425721
IPCA(1),2,-0.07756954
IPCA(1),2,-0.01278300
IPCA(1),2,-0.00490593
IPCA(1),2,0.03496747
IPCA(1),2,0.00100133
IPCA(1),2,-0.00564948
IPCA(1),2,0.03976224
IPCA(1),2,-0.01051801
IPCA(1),2,-0.01312031
IPCA(1),2,0.09348604
IPCA(1),2,0.00520805
IPCA(1),2,0.00263447
IPCA(1),2,0.01082987
IPCA(1),2,-0.00759773
IPCA(1),2,0.04843047
IPCA(1),2,-0.04869320
IPCA(1),2,0.00207587
IPCA(1),2,0.11398743
IPCA(1),2,-0.01157898
IPCA(1),2,0.01615539
IPCA(1),2,-0.02779737
IPCA(1),2,-0.00446203
IPCA(1),2,-0.00091697
IPCA(1),2,-0.00545670
IPCA(1),2,0.07528076
IPCA(1),2,0.00370171
IPCA(1),2,-0.00638348
IPCA(1),2,0.00714584
IPCA(1),2,0.00446610
IPCA(1),2,0.00451891
IPCA(1),2,0.04593190
IPCA(1),2,0.08545051
IPCA(1),2,0.02851324
IPCA(1),2,0.08080103
IPCA(1),2,-0.00729460
IPCA(1),2,0.04377074
IPCA(1),2,-0.02092733
IPCA(1),2,-0.00179880
IPCA(1),2,0.00081537
IPCA(1),2,0.08555888
IPCA(1),2,0.04230428
IPCA(1),2,0.02420554
IPCA(1),2,0.07006128
IPCA(1),2,-0.01982899
IPCA(1),2,-0.01359914
IPCA(1),2,0.02251040
IPCA(1),2,0.01920038
IPCA(1),2,0.01545861
IPCA(1),2,-0.00746082
IPCA(1),2,0.01034702
IPCA(1),2,0.03798779
IPCA(1),2,0.01812472
IPCA(1),2,0.00667869
IPCA(1),2,-0.00094899
IPCA(1),2,0.00545877
IPCA(1),2,0.07247955
IPCA(1),2,0.00133720
IPCA(1),2,-0.00958469
IPCA(1),2,0.05190541
IPCA(1),2,0.04531689
IPCA(1),2,0.01165163
IPCA(1),2,-0.00315370
IPCA(1),2,0.03638301
IPCA(1),2,-0.04352170
IPCA(1),2,0.06789922
IPCA(1),2,-0.00261969
IPCA(1),2,0.19189997
IPCA(1),2,0.01497376
IPCA(1),2,0.03855011
IPCA(1),2,-0.01725288
IPCA(1),2,0.05331315
IPCA(1),2,-0.02651384
IPCA(1),2,0.01531931
IPCA(1),2,0.06648485
IPCA(1),2,-0.01299670
IPCA(1),2,-0.01335231
IPCA(1),2,0.07192863
IPCA(1),2,0.04414305
IPCA(1),2,-0.00982642
IPCA(1),2,-0.01173458
IPCA(1),2,-0.01803443
IPCA(1),2,0.07681532
IPCA(1),2,0.09916570
IPCA(1),2,-0.00333583
IPCA(1),2,-0.02243095
IPCA(1),2,0.07590364
IPCA(1),2,-0.00514395
IPCA(1),2,0.04430975
IPCA(1),2,-0.01537555
IPCA(1),2,0.00612301
IPCA(1),2,-0.00353577
IPCA(1),2,-0.03440394
IPCA(1),2,0.00956805
IPCA(1),2,0.05290629
IPCA(1),2,0.02616404
IPCA(1),2,-0.00978663
IPCA(1),2,-0.03049777
IPCA(1),2,-0.01725852
IPCA(1),2,-0.00203206
IPCA(1),2,0.03768575
IPCA(1),2,-0.00851181
IPCA(1),2,-0.06476556
IPCA(1),2,-0.01481095
IPCA(1),2,-0.01040228
IPCA(1),2,0.03310932
IPCA(1),2,-0.02130470
IPCA(1),2,-0.02022563
IPCA(1),2,0.04532924
IPCA(1),2,0.02298742
IPCA(1),2,0.03847014
IPCA(1),2,-0.00672701
IPCA(1),2,0.02240218
IPCA(1),2,0.02840397
IPCA(1),2,-0.00391698
IPCA(1),2,0.09657203
IPCA(1),2,-0.01436496
IPCA(1),2,-0.04257081
IPCA(1),2,0.02920545
IPCA(1),2,-0.00514353
IPCA(1),2,0.16946756
IPCA(1),2,0.05399347
IPCA(1),2,0.02521333
IPCA(1),2,0.07485853
IPCA(1),2,0.01242204
IPCA(1),2,-0.02434539
IPCA(1),2,-0.00322327
IPCA(1),2,0.06284326
IPCA(1),2,0.02335393
IPCA(1),2,0.08726189
IPCA(1),2,-0.00532761
IPCA(1),2,-0.01722560
IPCA(1),2,0.01302057
IPCA(1),2,0.05723914
IPCA(1),2,0.00758727
IPCA(1),2,-0.02408629
IPCA(1),2,0.02545537
IPCA(1),2,-0.02459939
IPCA(1),2,-0.02705506
IPCA(1),2,-0.04255356
IPCA(1),2,0.12609914
IPCA(1),2,0.05839531
IPCA(1),2,0.00871137
IPCA(1),2,0.10388572
IPCA(1),2,-0.02131480
IPCA(1),2,-0.04122425
IPCA(1),2,0.00109864
IPCA(1),2,-0.01570690
IPCA(1),2,-0.04426917
IPCA(1),2,-0.02461332
IPCA(1),2,-0.00252107
IPCA(1),2,-0.01395067
IPCA(1),2,0.00868603
IPCA(1),2,0.02326218
IPCA(1),2,0.01104278
IPCA(1),2,0.04044621
IPCA(1),2,0.07803176
IPCA(1),2,0.01793609
IPCA(1),2,-0.02457864
IPCA(1),2,-0.01443096
IPCA(1),2,-0.00539559
IPCA(1),2,-0.00354850
IPCA(1),2,-0.01004457
IPCA(1),2,-0.03813059
IPCA(1),2,0.12223353
IPCA(1),2,0.09166754
IPCA(1),2,0.07647453
IPCA(1),2,-0.01462450
IPCA(1),2,0.08096230
IPCA(1),2,0.00310191
IPCA(1),2,0.01021115
IPCA(1),2,0.03302654
IPCA(1),2,0.08282888
IPCA(1),2,0.04558905
IPCA(1),2,0.05475838
IPCA(1),2,0.16909062
IPCA(1),2,0.00860556
IPCA(1),2,-0.01122719
IPCA(1),2,0.01132334
IPCA(1),2,0.00867437
IPCA(1),2,0.01469531
IPCA(1),2,0.03804330
IPCA(1),2,0.12122026
IPCA(1),2,0.15705917
IPCA(1),2,0.04341229
IPCA(1),2,0.05900071
IPCA(1),2,0.10631507
IPCA(1),2,0.01009599
IPCA(1),2,0.05797089
IPCA(1),2,-0.03545597
IPCA(1),2,0.03436420
IPCA(1),2,-0.03374688
IPCA(1),2,-0.00099416
IPCA(1),2,0.06444289
