char,mean_w,std_w,t_stat,mean_abs_w,n_months
mom,-0.02015,0.19522,-0.876,0.11081,72
ag,-0.15321,0.35475,-3.665,0.22097,72
ac,-0.17874,0.43207,-3.510,0.24913,72
noa,-0.16725,0.51949,-2.732,0.24762,72
nsi,-11.53897,68.69368,-1.425,11.59013,72
gp,-0.07475,0.29495,-2.150,0.16148,72
cei,-0.10866,0.28431,-3.243,0.17337,72
ita,-0.15386,0.35965,-3.630,0.21318,72
dist,0.09779,0.30191,2.748,0.15476,72
oscore,0.06903,0.61496,0.953,0.34150,72
