model,E5A
arch,cpz
charset,sy
states,lstm
critic,True
n_features,10
n_windows,6
n_oos_months,72
sharpe_pooled,-0.3218
sharpe_mean_win,-0.4456
ev,0.2315
rms_alpha_pct,5.1834
max_alpha_pct,20.0767
critic_alpha_pct,0.5754
