window,L_plus,L_minus,rel_gap
0,2.37993896e-04,8.72071483e-04,2.664260
1,5.55099105e-04,1.97135611e-03,2.551359
2,1.09943328e-03,1.10549049e-03,0.005509
3,2.44910596e-04,2.57196394e-03,9.501644
4,2.33567116e-04,3.03657027e-03,12.000847
5,4.41104727e-04,4.60026873e-04,0.042897
6,1.99341390e-04,3.13163706e-04,0.570992
7,3.02222412e-04,5.17242122e-03,16.114618
8,5.59329987e-03,5.14132623e-03,0.087910
9,3.55213042e-03,3.48534784e-03,0.019161
10,4.81879862e-04,1.24850366e-02,24.909023
11,1.52238470e-03,1.50228944e-03,0.013376
