window,L_plus,L_minus,rel_gap
0,2.45177333e-04,8.86467751e-04,2.615619
1,5.46583906e-04,2.03654659e-03,2.725954
2,1.04922429e-03,1.12295873e-03,0.070275
3,2.41268426e-04,2.57955818e-03,9.691653
4,2.41722053e-04,3.07318708e-03,11.713722
5,4.33563459e-04,4.65697522e-04,0.074116
6,1.99041358e-04,3.17890052e-04,0.597106
7,3.14524223e-04,5.42706810e-03,16.254849
8,5.13543980e-03,5.64520247e-03,0.099264
9,3.56189045e-03,3.51940887e-03,0.012071
10,5.28562465e-04,1.31051103e-02,23.793872
11,1.59760227e-03,1.50346081e-03,0.062617
