window,L_plus,L_minus,rel_gap
0,2.36408916e-04,8.47957504e-04,2.586825
1,5.44170558e-04,1.99879939e-03,2.673112
2,1.09289936e-03,1.11207669e-03,0.017547
3,2.34990119e-04,2.44055782e-03,9.385789
4,2.33953484e-04,3.05439741e-03,12.055576
5,4.39975876e-04,4.61203803e-04,0.048248
6,1.99333852e-04,3.09120282e-04,0.550767
7,2.98923900e-04,5.17937029e-03,16.326719
8,5.12167020e-03,5.61388442e-03,0.096104
9,3.37410998e-03,3.66666727e-03,0.086707
10,4.49363637e-04,1.16831809e-02,24.999391
11,1.50203658e-03,1.52263162e-03,0.013711
