name,charset,n_features,n_windows,n_oos_months,sharpe_pooled,ev,rms_alpha_pct,max_alpha_pct
lin11,sy,11,12,144,1.0711,0.1503,8.5392,43.0612
lin20,all,19,12,144,1.3764,0.1783,8.8916,45.8081
