name,n_windows,n_oos_months,sharpe_pooled,sharpe_mean_win,r2,ev,rms_alpha_pct,max_alpha_pct
AE(1),12,144,0.5731459826,0.3184921322,-2.6820684231,0.4199848017,5.7477277347,27.1633164198
AE(3),12,144,0.9384319113,0.7641389306,-2.7462703074,0.2159400176,5.6087242339,32.4423895254
AE(5),12,144,0.7355012054,0.9635553700,-2.7968839350,0.1454434691,7.4470640486,47.3447379697
