pair,sharpe_sdf,sharpe_bench,diff,ci_lo,ci_hi,zero_excluded
E2 vs AE(1),0.0160,0.5731,-0.5571,-1.3319,0.2583,0
E2 vs AE(3),0.0160,0.9384,-0.9224,-1.8809,-0.1309,1
E2 vs AE(5),0.0160,0.7355,-0.7195,-1.7267,0.0703,0
