window,L_plus,L_minus,rel_gap
0,3.73444025e-04,3.90970701e-04,0.046933
1,6.09466748e-04,1.84766389e-03,2.031607
2,1.05857279e-03,1.14753342e-03,0.084038
3,7.02631951e-04,8.05543910e-04,0.146466
4,8.04923009e-04,8.87907052e-04,0.103096
5,4.52068256e-04,4.48871724e-04,0.007121
6,1.99681235e-04,3.03003559e-04,0.517436
7,3.00745858e-04,5.20302076e-03,16.300390
8,5.25553524e-03,5.47527289e-03,0.041811
9,3.75966006e-03,3.28671210e-03,0.143897
10,4.85947006e-04,9.48420539e-03,18.516954
11,1.35746750e-03,1.67868461e-03,0.236630
