pair,sharpe_sdf,sharpe_bench,diff,ci_lo,ci_hi,zero_excluded
E8 vs FF5,0.6078,0.4735,0.1343,-0.1677,0.5307,0
E8 vs q-factor,0.6078,0.8882,-0.2804,-0.7912,0.2845,0
E8 vs LASSO,0.6078,0.6320,-0.0241,-0.0970,0.0244,0
E8 vs PCA(5),0.6078,0.4194,0.1884,-0.0357,0.5785,0
E8 vs Market,0.6078,0.3376,0.2703,-0.2242,0.8819,0
