name,n_windows,n_oos_months,sharpe_pooled,sharpe_mean_win,r2,ev,rms_alpha_pct,max_alpha_pct
IPCA(1),12,144,0.5939912068,0.3318800364,-2.7404155989,0.4207515333,5.8095938924,26.3417837809
IPCA(3),12,144,0.7471531694,0.4550886760,-2.0769663653,0.3967397553,8.0348537955,46.2262492932
IPCA(5),12,144,0.9471009297,0.8577672945,-1.6342165969,0.3371569987,7.9047180331,42.9343338112
