model,IPCA(5)
IPCA(3)_sharpe,2.0152
IPCA(3)_rms_pct,17.228
IPCA(3)_windows,20
IPCA(5)_sharpe,2.0160
IPCA(5)_rms_pct,17.228
IPCA(5)_windows,20
IPCA(8)_sharpe,2.0147
IPCA(8)_rms_pct,17.228
IPCA(8)_windows,20
