window,month_start,n_tail,n_kept,wshare_abs,wshare_pos,alpha2_share_pct,rms_alpha_tail_pct,rms_alpha_kept_pct,ew_tail_sharpe,ew_kept_sharpe,ew_tail_vol_pct,ew_kept_vol_pct
0,2013-07,12,223,0.057950571179389954,0.057950571179389954,3.768218994140625,5.102043598890305,5.544435232877731,1.566534411344133,1.2147550750903795,13.317106964230623,10.968302731448366
1,2014-07,13,228,0.04681205376982689,0.04681205376982689,1.7502233982086182,2.096375823020935,3.671661764383316,-0.30034321100749545,-0.521943645774774,3.5743590518052586,4.487391905976853
2,2015-07,13,230,0.047767627984285355,0.047767627984285355,3.852339506149292,3.0923111364245415,3.777267038822174,-0.029092870056979237,0.8416568206122024,3.0440174072698047,6.211704958184216
3,2016-07,13,236,0.04392816498875618,0.04392816498875618,6.989736080169678,3.4445591270923615,3.0313365161418915,0.9491120776975075,0.9833306263502446,2.6282566025313,3.5840061066693103
4,2017-07,13,240,0.05567510798573494,0.05567510798573494,4.972831726074219,3.4428995102643967,3.7625856697559357,-2.7609044608391513,-0.35896291291897203,2.443164807673095,3.900974308222442
5,2018-07,13,244,0.057457465678453445,0.0,4.167296886444092,11.393481492996216,12.976725399494171,1.8614754804719147,1.9856136036028462,17.390663091969984,18.77069335612788
6,2019-07,14,248,0.058858320116996765,0.058858320116996765,6.02377462387085,7.535281032323837,7.218544185161591,3.7014915190598563,4.066491293533804,15.493334767967287,14.502099603517962
7,2020-07,14,255,0.05165628716349602,0.05165628716349602,6.2695136070251465,8.634883910417557,7.92466327548027,-0.8258761258648148,-1.7909427533593334,10.994623722075971,8.21975891630354
8,2021-07,14,262,0.05188782140612602,0.030155932530760765,3.904597759246826,3.614657372236252,4.359037429094315,-0.9035423923056564,-0.8158124105144211,9.242118121346373,9.20198120883028
9,2022-07,15,270,0.06062151491641998,0.001530648791231215,3.3553004264831543,4.00785431265831,5.228722840547562,0.4234795441749631,0.8357793780752518,11.534118748545229,12.44665281837699
10,2023-07,15,278,0.04510654881596565,0.04510654881596565,4.511840343475342,5.405661091208458,5.717740207910538,-2.806602983555908,-2.504866857998978,4.94751124150169,5.4977467762900005
11,2024-07,15,283,0.0629822388291359,0.06320610642433167,5.808649063110352,3.618760406970978,3.5136912018060684,-0.1945420693254714,-0.2911641287701054,6.20167590764036,8.49030661126442
