window,L_plus,L_minus,rel_gap
0,2.45270174e-04,8.87951755e-04,2.620301
1,5.64622111e-04,1.99391879e-03,2.531422
2,1.07351190e-03,1.09792489e-03,0.022741
3,2.43867165e-04,2.56965426e-03,9.537106
4,2.36927197e-04,3.08813644e-03,12.034115
5,4.23302699e-04,4.76983289e-04,0.126814
6,1.97919187e-04,3.09250114e-04,0.562507
7,3.11104348e-04,5.38076274e-03,16.295685
8,4.56215534e-03,6.28491165e-03,0.377619
9,3.28254630e-03,3.80989304e-03,0.160652
10,4.89059137e-04,1.23487739e-02,24.250063
11,1.48409221e-03,1.61805353e-03,0.090265
