window,L_plus,L_minus,rel_gap
0,2.17703768e-04,9.40256228e-04,3.318971
1,4.69265797e-04,2.17481516e-03,3.634506
2,1.03311334e-03,1.17481616e-03,0.137161
3,2.35743646e-04,2.64507998e-03,10.220154
4,2.28794932e-04,3.09432903e-03,12.524465
5,4.36379982e-04,4.65000223e-04,0.065586
6,1.96811990e-04,3.14514997e-04,0.598048
7,3.12063814e-04,5.30321198e-03,15.993998
8,4.96423384e-03,5.78188244e-03,0.164708
9,3.40408320e-03,3.63539206e-03,0.067950
10,4.65476274e-04,1.20494887e-02,24.886365
11,1.39339687e-03,1.63795729e-03,0.175514
