char,mean_w,std_w,t_stat,mean_abs_w,n_months
size,-0.11262,0.51795,-2.609,0.29370,144
st_rev,0.04733,0.28780,1.974,0.13839,144
turnover,0.06097,0.46059,1.589,0.28368,144
vol,-0.01451,0.31009,-0.562,0.20389,144
bm,0.05010,0.44749,1.343,0.28721,144
mom,0.02066,0.13816,1.795,0.08470,144
roe,0.00947,0.33541,0.339,0.20364,144
ag,-0.02309,0.21564,-1.285,0.13657,144
ac,-0.02971,0.31061,-1.148,0.18988,144
noa,-0.06706,0.38365,-2.098,0.22432,144
nsi,-0.00795,0.23312,-0.409,0.15546,144
gp,0.04906,0.19421,3.031,0.13000,144
cei,0.01112,0.24047,0.555,0.15056,144
ita,-0.01332,0.26413,-0.605,0.18944,144
ig,-0.03846,0.17298,-2.668,0.12080,144
dist,0.03743,0.49081,0.915,0.31380,144
oscore,0.06322,0.54648,1.388,0.34413,144
cbop,-0.03030,0.32514,-1.118,0.18897,144
dy,0.04867,0.48524,1.204,0.32463,144
