pair,sharpe_sdf,sharpe_bench,diff,ci_lo,ci_hi,zero_excluded
E2 vs FF5,0.0160,0.4735,-0.4575,-1.2110,0.3147,0
E2 vs q-factor,0.0160,0.8882,-0.8722,-1.7730,0.0292,0
E2 vs LASSO,0.0160,0.6319,-0.6159,-1.4871,0.1691,0
E2 vs PCA(5),0.0160,0.4194,-0.4034,-1.1406,0.4210,0
E2 vs Market,0.0160,0.3376,-0.3215,-1.0730,0.4505,0
